"Years" "conference" "offName" "school" "Division" "offName"
2011 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA Division I-A" "The University of Alabama"
2012 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA Division I-A" "The University of Alabama"
1991 "Division III Independent" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division III" "The University of Alabama at Birmingham"
1992 "Division III Independent" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division III" "The University of Alabama at Birmingham"
1993 "Division I-AA Independent" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-AA" "The University of Alabama at Birmingham"
1994 "Division I-AA Independent" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-AA" "The University of Alabama at Birmingham"
1995 "Division I-AA Independent" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-AA" "The University of Alabama at Birmingham"
1996 "Division I-A Independent" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
1997 "Division I-A Independent" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
1998 "Division I-A Independent" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
1999 "Conference USA" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
2000 "Conference USA" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
2001 "Conference USA" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
2002 "Conference USA" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
2003 "Conference USA" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
2004 "Conference USA" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
2005 "Conference USA" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
2006 "Conference USA" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
2007 "Conference USA" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
2008 "Conference USA" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
2009 "Conference USA" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
2010 "Conference USA" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
2011 "Conference USA" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
2012 "Conference USA" "The University of Alabama at Birmingham" "Alabama-Birmingham" "NCAA Division I-A" "The University of Alabama at Birmingham"
1899 "Independent" "University of Arizona" "Arizona" NA NA
1900 "Independent" "University of Arizona" "Arizona" NA NA
1901 "Independent" "University of Arizona" "Arizona" NA NA
1902 "Independent" "University of Arizona" "Arizona" NA NA
1903 "Independent" "University of Arizona" "Arizona" NA NA
1904 "Independent" "University of Arizona" "Arizona" NA NA
1905 "Independent" "University of Arizona" "Arizona" NA NA
1906 "Independent" "University of Arizona" "Arizona" NA NA
1907 "Independent" "University of Arizona" "Arizona" NA NA
1908 "Independent" "University of Arizona" "Arizona" NA NA
1909 "Independent" "University of Arizona" "Arizona" NA NA
1910 "Independent" "University of Arizona" "Arizona" NA NA
1911 "Independent" "University of Arizona" "Arizona" NA NA
1912 "Independent" "University of Arizona" "Arizona" NA NA
1913 "Independent" "University of Arizona" "Arizona" NA NA
1914 "Independent" "University of Arizona" "Arizona" NA NA
1915 "Independent" "University of Arizona" "Arizona" NA NA
1916 "Independent" "University of Arizona" "Arizona" NA NA
1917 "Independent" "University of Arizona" "Arizona" NA NA
1918 "Independent" "University of Arizona" "Arizona" NA NA
1919 "Independent" "University of Arizona" "Arizona" NA NA
1920 "Independent" "University of Arizona" "Arizona" NA NA
1921 "Independent" "University of Arizona" "Arizona" NA NA
1922 "Independent" "University of Arizona" "Arizona" NA NA
1923 "Independent" "University of Arizona" "Arizona" NA NA
1924 "Independent" "University of Arizona" "Arizona" NA NA
1925 "Independent" "University of Arizona" "Arizona" NA NA
1926 "Independent" "University of Arizona" "Arizona" NA NA
1927 "Independent" "University of Arizona" "Arizona" NA NA
1928 "Independent" "University of Arizona" "Arizona" NA NA
1929 "Independent" "University of Arizona" "Arizona" NA NA
1930 "Independent" "University of Arizona" "Arizona" NA NA
1931 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" NA NA
1932 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" NA NA
1933 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" NA NA
1934 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" NA NA
1935 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" NA NA
1936 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" NA NA
1937 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA College Division (Small College)" "University of Arizona"
1938 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA College Division (Small College)" "University of Arizona"
1939 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1940 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1941 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1942 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1943 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1944 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1945 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1946 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1947 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1948 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1949 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1950 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1951 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1952 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1953 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1954 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1955 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1956 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1957 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1958 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1959 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1960 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1961 "Border Intercollegiate Athletic Association" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1962 "Western Athletic Conference" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1963 "Western Athletic Conference" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1964 "Western Athletic Conference" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1965 "Western Athletic Conference" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1966 "Western Athletic Conference" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1967 "Western Athletic Conference" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1968 "Western Athletic Conference" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1969 "Western Athletic Conference" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1970 "Western Athletic Conference" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1971 "Western Athletic Conference" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1972 "Western Athletic Conference" "University of Arizona" "Arizona" "NCAA University Division (Major College)" "University of Arizona"
1973 "Western Athletic Conference" "University of Arizona" "Arizona" "NCAA Division I" "University of Arizona"
1974 "Western Athletic Conference" "University of Arizona" "Arizona" "NCAA Division I" "University of Arizona"
1975 "Western Athletic Conference" "University of Arizona" "Arizona" "NCAA Division I" "University of Arizona"
1976 "Western Athletic Conference" "University of Arizona" "Arizona" "NCAA Division I" "University of Arizona"
1977 "Western Athletic Conference" "University of Arizona" "Arizona" "NCAA Division I" "University of Arizona"
