"Team","Year","oW","oL","cW","cL","stand","bowl","coachRank","apRank","sportsNetworkRank"
"Southern Illinois",2006,9,4,4,3,4,"L NCAA Division I Second round",NA,NA,NA
"Southern Illinois",2007,12,2,5,1,2,"L NCAA Division I Semifinal",NA,NA,NA
"Northern Illinois",2008,6,7,5,3,4,"L Independence",NA,NA,NA
"Northern Illinois",2009,7,6,5,3,2,"L International",NA,NA,NA
"Northern Illinois",2010,10,3,8,0,1,"* Humanitarian",NA,NA,NA
"Minnesota",2011,3,9,2,6,6,"",NA,NA,NA
"Minnesota",2012,6,7,2,6,6,"L Texas",NA,NA,NA
"Minnesota",2013,8,2,4,2,NA,"",NA,NA,NA
"Nebraska",2003,1,0,NA,NA,NA,"W Alamo",18,18,NA
"Nebraska",2008,9,4,5,3,1,"W Gator",NA,NA,NA
"Nebraska",2009,10,4,6,2,1,"W Holiday",14,14,NA
"Nebraska",2010,10,4,6,2,1,"L Holiday",19,20,NA
"Nebraska",2011,9,4,5,3,3,"L Capital One",24,24,NA
"Nebraska",2012,10,4,7,1,1,"L Capital One",23,25,NA
"Nebraska",2013,7,3,4,2,NA,"",NA,NA,NA
"Northwestern",2006,4,8,2,6,8,"",NA,NA,NA
"Northwestern",2007,6,6,3,5,7,"",NA,NA,NA
"Northwestern",2008,9,4,5,3,4,"L Alamo",NA,NA,NA
"Northwestern",2009,8,5,5,3,4,"L Outback",NA,NA,NA
"Northwestern",2010,7,6,3,5,7,"L TicketCity",NA,NA,NA
"Northwestern",2011,6,7,3,5,5,"L Meineke Car Care",NA,NA,NA
"Northwestern",2012,10,3,5,3,3,"W Gator",16,17,NA
"Northwestern",2013,4,6,0,6,NA,"",NA,NA,NA
"Bowling Green",2001,8,3,5,3,2,"",NA,NA,NA
"Bowling Green",2002,9,3,6,2,3,"",NA,NA,NA
"Utah",2003,10,2,6,1,1,"W Liberty",21,21,NA
"Utah",2004,12,0,7,0,1,"W Fiesta†",5,4,NA
"Florida",2005,9,3,5,3,2,"W Outback",16,12,NA
"Florida",2006,13,1,7,1,1,"W BCS NCG†",1,1,NA
"Florida",2007,9,4,5,3,3,"L Capital One",16,13,NA
"Florida",2008,13,1,7,1,1,"W BCS NCG†",1,1,NA
"Florida",2009,13,1,8,0,1,"W Sugar†",3,3,NA
"Florida",2010,8,5,4,4,2,"W Outback",NA,NA,NA
"Ohio State",2012,12,0,8,0,1,"‡",NA,3,NA
"Ohio State",2013,10,0,6,0,NA,"",NA,NA,NA
"Penn State",2012,8,4,6,2,2,"‡",NA,NA,NA
"Penn State",2013,6,4,3,3,NA,"‡",NA,NA,NA
"Kent State",2011,5,7,4,4,3,"",NA,NA,NA
"Kent State",2012,11,3,8,0,1,"L GoDaddy.com",NA,NA,NA
"Purdue",2013,1,9,0,6,NA,"",NA,NA,NA
"Southern Utah",2003,4,7,NA,NA,NA,"",NA,NA,NA
"Utah State",2009,4,8,3,5,5,"",NA,NA,NA
"Utah State",2010,4,8,2,6,7,"",NA,NA,NA
"Utah State",2011,7,6,5,2,2,"L Potato",NA,NA,NA
"Utah State",2012,11,2,6,0,1,"W Potato",17,16,NA
"Wisconsin",2013,8,2,5,1,NA,"",NA,NA,NA
"Texas Tech",2009,1,0,0,0,3,"W Alamo",23,21,NA
"East Carolina",2010,6,7,5,3,2,"L Military",NA,NA,NA
"East Carolina",2011,5,7,4,4,3,"",NA,NA,NA
"East Carolina",2012,8,5,7,1,1,"L New Orleans",NA,NA,NA
"East Carolina",2013,8,2,6,1,NA,"",NA,NA,NA
"San Jose State",1992,7,4,4,2,2,"",NA,NA,NA
"Illinois",1997,0,11,0,8,11,"",NA,NA,NA
"Illinois",1998,3,8,2,6,7,"",NA,NA,NA
"Illinois",1999,8,4,4,4,6,"W MicronPC",25,24,NA
"Illinois",2000,5,6,2,6,9,"",NA,NA,NA
"Illinois",2001,10,2,7,1,1,"L Sugar†",12,12,NA
"Illinois",2002,5,7,4,4,5,"",NA,NA,NA
"Illinois",2003,1,11,0,8,11,"",NA,NA,NA
"Illinois",2004,3,8,1,7,10,"",NA,NA,NA
"FIU",2013,1,9,1,5,NA,"",NA,NA,NA
"Connecticut",1994,4,7,4,4,3,"",NA,NA,NA
"Connecticut",1995,8,3,5,3,2,"",NA,NA,NA
"Connecticut",1996,5,6,3,5,4,"",NA,NA,NA
"Connecticut",1997,7,4,4,4,2,"",NA,NA,NA
"Connecticut",1998,10,3,6,2,1,"L Division I-AA Quarterfinals",NA,NA,NA
"East Carolina",2005,5,6,4,4,4,"",NA,NA,NA
"East Carolina",2006,7,6,5,3,2,"L PapaJohns.com",NA,NA,NA
"East Carolina",2007,8,5,6,2,2,"W Hawaiʻi",NA,NA,NA
"East Carolina",2008,9,5,6,2,1,"L Liberty",NA,NA,NA
"East Carolina",2009,9,5,7,1,1,"L Liberty",NA,NA,NA
"South Florida",2010,8,5,3,4,5,"W Meineke Car Care",NA,NA,NA
"South Florida",2011,5,7,1,6,7,"",NA,NA,NA
"South Florida",2012,3,9,1,6,8,"",NA,NA,NA
"Louisiana Tech",2013,4,6,3,3,NA,"",NA,NA,NA
"Marshall",2010,5,7,4,4,4,"",NA,NA,NA
"Marshall",2011,7,6,5,3,2,"W Beef 'O' Brady's",NA,NA,NA
"Marshall",2012,5,7,4,4,3,"",NA,NA,NA
"Marshall",2013,7,3,5,1,NA,"",NA,NA,NA
"Middle Tennessee",2006,7,6,6,1,1,"L Motor City",NA,NA,NA
"Middle Tennessee",2007,5,7,4,3,2,"",NA,NA,NA
"Middle Tennessee",2008,5,7,3,4,4,"",NA,NA,NA
"Middle Tennessee",2009,10,3,7,1,2,"W New Orleans",NA,NA,NA
"Middle Tennessee",2010,6,7,5,3,3,"L GoDaddy.com",NA,NA,NA
"Middle Tennessee",2011,2,10,1,7,8,"",NA,NA,NA
