"Years" "Conference" "offName" "school" "Division" "school"
1927 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1928 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1929 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1930 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1931 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1932 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1933 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1934 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1935 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1936 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1937 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1938 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1939 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1940 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1941 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1942 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1943 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1944 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1945 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1946 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1947 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1948 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1949 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1950 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1951 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1952 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1953 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1954 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1955 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1956 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1957 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1958 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
