"Years" "Conference" "offName" "school" "Division" "school"
1943 "Independent" "Campbell University" "Campbell (NC)" NA NA
1944 "Independent" "Campbell University" "Campbell (NC)" NA NA
1945 "Independent" "Campbell University" "Campbell (NC)" NA NA
1946 "Independent" "Campbell University" "Campbell (NC)" NA NA
1947 "Independent" "Campbell University" "Campbell (NC)" NA NA
1948 "Independent" "Campbell University" "Campbell (NC)" NA NA
1949 "Independent" "Campbell University" "Campbell (NC)" NA NA
1950 "Independent" "Campbell University" "Campbell (NC)" NA NA
2008 "Pioneer Football League" "Campbell University" "Campbell (NC)" "NCAA Division I-AA" "Campbell (NC)"
2009 "Pioneer Football League" "Campbell University" "Campbell (NC)" "NCAA Division I-AA" "Campbell (NC)"
2010 "Pioneer Football League" "Campbell University" "Campbell (NC)" "NCAA Division I-AA" "Campbell (NC)"
2011 "Pioneer Football League" "Campbell University" "Campbell (NC)" "NCAA Division I-AA" "Campbell (NC)"
2012 "Pioneer Football League" "Campbell University" "Campbell (NC)" "NCAA Division I-AA" "Campbell (NC)"
1908 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1909 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1910 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1911 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1912 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1913 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1914 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1915 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1916 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1917 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1918 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1919 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1920 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1921 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1922 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1923 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1924 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1925 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1926 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1927 "Independent" "University of Central Arkansas" "Central Arkansas" NA NA
1928 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1929 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1930 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1931 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1932 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1933 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1934 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1935 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1936 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1937 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1938 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1939 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1940 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1941 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1942 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1943 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1944 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1945 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1946 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1947 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1948 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1949 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1950 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1951 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1952 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1953 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1954 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1955 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1956 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1957 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1958 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" NA NA
1959 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1960 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1961 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1962 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1963 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1964 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1965 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1966 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1967 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1968 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1969 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1970 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1971 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1972 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1973 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1974 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1975 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1976 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1977 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1978 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1979 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1980 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1981 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1982 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1983 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1984 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1985 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1986 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1987 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1988 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1989 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1990 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1991 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1992 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NAIA" "Central Arkansas"
1992 "Arkansas Intercollegiate Conference" "University of Central Arkansas" "Central Arkansas" "NCAA Division II" "Central Arkansas"
1993 "Gulf South Conference" "University of Central Arkansas" "Central Arkansas" "NCAA Division II" "Central Arkansas"
1994 "Gulf South Conference" "University of Central Arkansas" "Central Arkansas" "NCAA Division II" "Central Arkansas"
1995 "Gulf South Conference" "University of Central Arkansas" "Central Arkansas" "NCAA Division II" "Central Arkansas"
1996 "Gulf South Conference" "University of Central Arkansas" "Central Arkansas" "NCAA Division II" "Central Arkansas"
1997 "Gulf South Conference" "University of Central Arkansas" "Central Arkansas" "NCAA Division II" "Central Arkansas"
1998 "Gulf South Conference" "University of Central Arkansas" "Central Arkansas" "NCAA Division II" "Central Arkansas"
