"no","name","pos","ht","wt","class","hometown","year"
8,"Jason Avant***","WR ","6-1 ",203,"Jr./Jr. ","Chicago, Ill.  (Carver) ",2004
75,"David Baas**** (c)","OL ","6-5 ",323,"5th/Sr. ","Sarasota, Fla.  (Riverview) ",2004
19,"Willis Barringer**","S ","6-0 ",197,"Jr./So. ","Toledo, Ohio  (Scott) ",2004
63,"Derek Bell*","OL ","6-4 ",285,"Sr./Jr. ","Holland, Mich.  (Grand Rapids Catholic Central) ",2004
91,"Rondell Biggs**","DE ","6-2 ",264,"Jr./So. ","Southfield, Mich.  (Southfield Lathrup) ",2004
54,"Mark Bihl**","OL ","6-4 ",302,"Jr./So. ","Washington Court House, Ohio  (W.C.H.) ",2004
17,"James Bloomsburgh","PK ","5-10 ",195,"Jr./So. ","Berkeley, Calif.  (DeLaSalle Catholic) ",2004
61,"Turner Booth","OL/LS ","6-2 ",264,"Jr./So. ","Baltimore, Md.  (Rockville) ",2004
41,"Tim Bracken***","HB ","5-9 ",211,"5th/Sr. ","White Castle, La.  (Saint John) ",2004
26,"Alijah Bradley*","HB ","5-6 ",169,"Jr./So. ","Richmond, Calif.  (DeLaSalle Catholic) ",2004
80,"Alan Branch*","DT ","6-6 ",345,"Fr./Fr. ","Rio Rancho, N.M.  (Cibola) ",2004
15,"Steve Breaston**","WR ","6-1 ",174,"Jr./So. ","North Braddock, Pa.  (Woodland Hills) ",2004
7,"Spencer Brinton***","QB ","6-5 ",219,"6th/Sr. ","Hemet, Calif.  (Temecula Valley) ",2004
6,"Prescott Burgess**","ILB ","6-3 ",232,"So./So. ","Warren, Ohio  (Warren G. Harding) ",2004
9,"Anton Campbell*","S ","5-11 ",192,"So./Fr. ","O'Fallon, Mo.  (Fort Zumwalt West) ",2004
26,"Mike Carl","S ","6-0 ",199,"Jr./So. ","Troy, Mich.  (Athens) ",2004
15,"Chip Cartwright","ILB ","6-1 ",229,"Jr./Jr. ","Hartford, Mich.  (Lawrence) ",2004
33,"Keston Cheathem","S ","6-1 ",171,"Fr./Fr. ","Miraloma, Calif.  (Pomona) ",2004
45,"Brad Cischke","WR ","6-4 ",202,"Jr./Jr. ","Troy, Mich.  (Troy Athens) ",2004
70,"Jeremy Ciulla","OL ","6-4 ",297,"Fr./Fr. ","Kennesaw, Ga.  (Kennesaw Mountain) ",2004
2,"Shawn Crable*","OLB ","6-5 ",233,"So./Fr. ","Massillon, Ohio  (Washington) ",2004
9,"Kyle Cunningham","QB ","6-2 ",190,"Fr./Fr. ","Grand Rapids, Mich.  (East Grand Rapids) ",2004
30,"Markus Curry***","CB ","5-11 ",182,"Sr./Sr. ","Detroit, Mich.  (Bishop Gallagher) ",2004
64,"Grant DeBenedictis","OL ","6-5 ",290,"Fr./Fr. ","Boca Raton, Fla.  (St. Andrews) ",2004
32,"Kevin Dudley****","FB ","6-1 ",236,"5th/Sr. ","Brookville, Ind.  (Franklin County) ",2004
81,"Doug Dutch Jr.","WR ","5-10 ",191,"Fr./Fr. ","Bowie, Md.  (Gonzaga College) ",2004
89,"Tyler Ecker**","TE ","6-6 ",249,"Jr./So. ","El Dorado Hills, Calif.  (Oak Ridge) ",2004
27,"Shakir Edwards","DB ","6-0 ",190,"Fr./Fr. ","Detroit, Mich.  (Martin Luther King) ",2004
1,"Braylon Edwards***","WR ","6-3 ",208,"Sr./Sr. ","Detroit, Mich.  (Bishop Gallagher) ",2004
44,"Jason Eldridge","RB ","5-8 ",179,"Jr./Jr. ","Oxford, Mich.  (Oxford) ",2004
31,"Brandent Englemon*","S ","5-11 ",195,"So./Fr. ","Covington, Ky.  (Holmes) ",2004
39,"Adam Finley****","P ","6-4 ",208,"5th/Sr. ","Greenwood, Ind.  (Center Grove) ",2004
86,"Jim Fisher***","TE ","6-5 ",250,"5th/Sr. ","Huron, Ohio  (Huron) ",2004
74,"Brett Gallimore","OL ","6-4 ",304,"Fr./Fr. ","Parkville, Mo.  (Park Hill South) ",2004
34,"Jason Gingell","K ","5-9 ",180,"Fr./Fr. ","Northville, Mich.  (Catholic Central) ",2004
18,"Jermaine Gonzales****","WR ","6-2 ",205,"5th/Sr. ","Pontiac, Mich.  (Orchard Lake St. Mary's) ",2004
37,"Chris Graham*","ILB ","5-11 ",204,"Fr./Fr. ","Indianapolis, Ind.  (Warren Central) ",2004
12,"Matt Gutierrez**","QB ","6-4 ",228,"Jr./So. ","Concord, Calif.  (DeLaSalle) ",2004
29,"Leon Hall**","CB ","5-11 ",191,"So./So. ","Vista, Calif.  (Vista) ",2004
33,"Scott Hamel","RB ","5-10 ",200,"Jr./Jr. ","Rye, N.Y.  (Rye) ",2004
45,"David Harris*","ILB ","6-2 ",233,"Jr./So. ","Grand Rapids, Mich.  (Ottawa Hills) ",2004
96,"Larry Harrison*","DT ","6-3 ",299,"Jr./So. ","Detroit, Mich.  (Martin Luther King) ",2004
20,"Mike Hart*","RB ","5-9 ",194,"Fr./Fr. ","Syracuse, N.Y.  (Onondaga Central) ",2004
65,"Leo Henige Jr.**","OL ","6-4 ",326,"Sr./Jr. ","Chesaning, Mich.  (Chesaning) ",2004
7,"Chad Henne*","QB ","6-2 ",217,"Fr./Fr. ","Wyomissing, Pa.  (Wilson) ",2004
4,"Darnell Hood**","CB ","5-11 ",191,"Jr./So. ","Detroit, Mich.  (Bishop Gallagher) ",2004
53,"David Hull","DT ","6-1 ",265,"So./Fr. ","Plymouth, Mich.  (Salem) ",2004
24,"Jerome Jackson**","RB ","5-11 ",198,"So./So. ","Saginaw, Mich.  (Saginaw) ",2004
3,"Marlin Jackson**** (c)","CB ","6-1 ",196,"Sr./Sr. ","Sharon, Pa.  (Sharon) ",2004
90,"Tim Jamison","OLB ","6-3 ",228,"Fr./Fr. ","Riverdale, Ill.  (Harvey Thornton) ",2004
97,"Will Johnson","DT ","6-4 ",282,"Fr./Fr. ","Oakland, Mich.  (Lake Orion) ",2004
13,"Jeff Kastl","QB ","6-3 ",224,"Jr./So. ","Clinton Township, Mich.  (Chippewa Valley) ",2004
76,"Mike Kolodziej**","OL ","6-7 ",324,"Jr./So. ","Joliet, Ill.  (Joliet Catholic Academy) ",2004
57,"Adam Kraus*","OL ","6-6 ",301,"So./Fr. ","New Orleans, La.  (Brother Martin) ",2004
67,"Matt Lentz**","OL ","6-6 ",300,"Sr./Jr. ","Ortonville, Mich.  (Brandon) ",2004
34,"Joe Leoni","ILB ","5-11 ",220,"Jr./So. ","Grand Blanc, Mich.  (Flint Powers) ",2004
37,"James Logan","DB ","5-10 ",185,"Fr./Fr. ","Detroit, Mich.  (Mumford) ",2004
77,"Jake Long*","OL ","6-7 ",335,"So./Fr. ","Lapeer, Mich.  (Lapeer East) ",2004
83,"K.C. Lopata","K ","6-2 ",210,"Fr./Fr. ","Farmington, Mich.  (Farmington) ",2004
60,"Patrick Lyall","OL ","6-0 ",285,"Fr./Fr. ","Adrian, Mich.  (Adrian) ",2004
82,"Mike Mandich*","TE ","6-3 ",252,"Sr./Jr. ","Miami Lakes, Fla.  (Dade Christian) ",2004
52,"Ross Mann**","LS ","6-1 ",235,"5th/Sr. ","Pikeville, Ky.  (Lexington Catholic) ",2004
58,"Roy Manning****","OLB ","6-2 ",246,"5th/Sr. ","Saginaw, Mich.  (Saginaw) ",2004
23,"Max Martin*","RB ","6-1 ",201,"Fr./Fr. ","Madison, Ala.  (Bob Jones) ",2004
13,"Grant Mason*","CB ","6-0 ",190,"Sr./Jr. ","Pontiac, Mich.  (Orchard Lake St. Mary's) ",2004
88,"Tim Massaquoi***","TE ","6-4 ",247,"Sr./Jr. ","Allentown, Pa.  (Parkland) ",2004
85,"Mike Massey","TE ","6-3 ",222,"Fr./Fr. ","Brecksville, Ohio  (St. Ignatius) ",2004
94,"Pat Massey***","DE/DT ","6-8 ",276,"Sr./Jr. ","Brecksville, Ohio  (Saint Ignatius) ",2004
80,"Chris Matsos*","WR ","6-0 ",208,"Sr./Jr. ","New Boston, Mich.  (Huron) ",2004
36,"Scott McClintock***","ILB ","6-2 ",243,"Sr./Jr. ","Belle Vernon, Pa.  (Belle Vernon) ",2004
73,"Alex Mitchell","OL ","6-5 ",340,"Fr./Fr. ","Bay City, Mich.  (Bay City Central) ",2004
31,"Craig Moore","PK ","5-10 ",178,"Jr./So. ","San Diego, Calif.  (The Bishop's School) ",2004
28,"Dan Moore","ILB ","6-0 ",225,"So./Fr. ","Canton, Mich.  (Catholic Central) ",2004
21,"Ryan Mundy**","S ","6-1 ",200,"So./So. ","Wilkins Township, Pa.  (Woodland Hills) ",2004
84,"Kevin Murphy","TE ","6-5 ",256,"Jr./So. ","Grand Rapids, Mich.  (Forest Hills Central) ",2004
10,"Troy Nienberg***","PK ","6-2 ",167,"5th/Sr. ","Glandorf, Ohio  (Ottawa Glandorf) ",2004
93,"Alex Ofili**","DT ","6-4 ",290,"Sr./Jr. ","Ypsilanti, Mich.  (Ypsilanti) ",2004
40,"Obi Oluigbo*","FB ","6-0 ",234,"Jr./So. ","Laurel, Md.  (Episcopal) ",2004
38,"B.J. Opong-Owusu*","S ","5-11 ",195,"Jr./So. ","West Bloomfield, Mich.  (Walled Lake Western) ",2004
92,"Will Paul*","DT ","6-3 ",261,"So./Fr. ","Chesterfield, Mo.  (Parkway West) ",2004
22,"Kyle Plummer","CB ","5-10 ",162,"So./Fr. ","Milford, Mich.  (Milford) ",2004
97,"Max Pollock","OLB ","6-1 ",217,"So./Fr. ","Takoma Park, Md.  (Montgomery Blair) ",2004
46,"James Presley","ILB ","6-2 ",243,"So./Fr. ","Milford, Mich.  (Milford) ",2004
55,"Jeremy Read","ILB ","6-1 ",230,"5th/Sr. ","San Diego, Calif.  (Rancho Bernardo) ",2004
42,"Lawrence Reid***","ILB ","6-1 ",222,"Sr./Jr. ","Pickerington, Ohio  (Pickerington) ",2004
27,"Pierre Rembert*","RB ","6-0 ",209,"Jr./So. ","Milwaukee, Wis.  (Cudahy) ",2004
10,"Clayton Richard*","QB ","6-4 ",232,"So./Fr. ","Lafayette, Ind.  (McCutcheon) ",2004
72,"Rueben Riley Jr.*","OL ","6-3 ",311,"Jr./So. ","Grand Rapids, Mich.  (Creston) ",2004
38,"Garrett Rivas**","PK ","5-9 ",216,"So./So. ","Tampa, Fla.  (Jesuit) ",2004
93,"Chris Rogers","OLB ","6-1 ",249,"Fr./Fr. ","Wexford, Pa.  (North Allegheny) ",2004
3,"Ross Ryan","P ","6-0 ",210,"Jr./So. ","Franklin, Mich.  (Brother Rice) ",2004
62,"Jon Saigh","OL ","6-4 ",275,"Fr./Fr. ","Kingsford, Mich.  (Kingsford) ",2004
66,"Paul Sarantos","DT ","6-3 ",267,"Jr./So. ","Portage, Mich.  (Northern) ",2004
59,"Joey Sarantos***","ILB ","6-3 ",225,"Sr./Jr. ","Portage, Mich.  (Northern) ",2004
69,"David Schoonover*","OL ","6-3 ",288,"Sr./Jr. ","DeWitt, Mich.  (DeWitt) ",2004
68,"Pat Sharrow","OL ","6-4 ",303,"So./Fr. ","Monroe, Mich.  (Monroe) ",2004
25,"Ernest Shazor***","S ","6-4 ",229,"Sr./Jr. ","Detroit, Mich.  (Martin Luther King) ",2004
12,"Landon Smith","WR ","5-8 ",166,"So./So. ","San Jose, Calif.  (Gunderson) ",2004
2,"Mark Spencer","P ","6-0 ",220,"Jr./So. ","Ann Arbor, Mich.  (Pioneer) ",2004
79,"Adam Stenavich***","OL ","6-5 ",318,"Sr./Jr. ","Marshfield, Wis.  (Marshfield) ",2004
5,"Charles Stewart","S ","6-1 ",192,"Fr./Fr. ","Farmington Hills, Mich.  (Harrison) ",2004
28,"Jacob Stewart**","S ","6-0 ",206,"Jr./Jr. ","Ypsilanti, Mich.  (Ypsilanti) ",2004
94,"Matt Studenski*","TE ","6-3 ",219,"Sr./Jr. ","Troy, Mich.  (Brother Rice) ",2004
17,"Carl Tabb**","WR ","6-2 ",194,"Jr./So. ","Ann Arbor, Mich.  (Huron) ",2004
49,"John Thompson","ILB ","6-0 ",214,"Fr./Fr. ","Detroit, Mich.  (Crockett Technical) ",2004
35,"Brian Thompson**","FB ","6-2 ",232,"Jr./So. ","Saginaw, Mich.  (Nouvel Catholic) ",2004
14,"Morgan Trent","WR ","6-0 ",178,"Fr./Fr. ","San Diego, Calif.  (Orchard Lake St. Mary's) ",2004
5,"David Underwood****","RB ","6-0 ",216,"Sr./Sr. ","Madisonville, Texas  (Madisonville) ",2004
50,"Jeremy Van Alstyne**","DE ","6-4 ",261,"Jr./So. ","Greenwood, Ind.  (Center Grove) ",2004
49,"Eric Van Beek","FB/LB ","6-0 ",195,"Fr./Fr. ","Edwardsville, Ill.  (Edwardsville) ",2004
95,"Marques Walton","DT ","6-0 ",301,"Fr./Fr. ","Chicago, Ill.  (Hubbard) ",2004
78,"Gabe Watson***","DT ","6-4 ",333,"Jr./Jr. ","Novi, Mich.  (Southfield) ",2004
8,"Matt Wilde","QB ","6-2 ",202,"Jr./So. ","Troy, Mich.  (Seaholm) ",2004
18,"Fred Wilson","RB ","5-10 ",167,"Fr./Fr. ","Detroit, Mich.  (Mackenzie) ",2004
56,"LaMarr Woodley**","OLB/DE ","6-2 ",263,"So./So. ","Saginaw, Mich.  (Saginaw) ",2004
99,"Pierre Woods***","OLB ","6-5 ",245,"Sr./Jr. ","Cleveland, Ohio  (Glenville) ",2004
8,"Jason Avant**","WR ","6-1 ",203,"So./So. ","Chicago, Ill.  (Carver) ",2003
75,"David Baas***","OL ","6-5 ",323,"Sr./Jr. ","Sarasota, Fla.  (Riverview) ",2003
19,"Willis Barringer*","DB ","6-0 ",196,"So./Fr. ","Toledo, Ohio  (Scott) ",2003
63,"Derek Bell","DL ","6-4 ",275,"Jr./So. ","Holland, Mich.  (Grand Rapids Catholic Central) ",2003
27,"Calvin Bell****","WR ","6-1 ",200,"Sr./Sr. ","Simi Valley, Calif.  (Simi Valley) ",2003
71,"Tom Berishaj","OL ","6-4 ",325,"So./Fr. ","Sterling Heights, Mich.  (Stevenson) ",2003
91,"Rondell Biggs*","DL ","6-2 ",259,"So./Fr. ","Southfield, Mich.  (Southfield Lathrup) ",2003
54,"Mark Bihl*","OL ","6-4 ",299,"So./Fr. ","Washington Court House, Ohio  (W.C.H.) ",2003
61,"Turner Booth","OL/LS ","6-2 ",286,"So./So. ","Baltimore, Md.  (Rockville) ",2003
60,"Grant Bowman**** (c)","DL ","6-1 ",288,"5th/Sr. ","Columbus, Ohio  (St. Francis De Sales) ",2003
34,"Philip Brabbs**","PK ","6-2 ",200,"5th/Sr. ","Midland, Mich.  (H.H. Dow) ",2003
41,"Tim Bracken**","RB ","5-10 ",208,"Sr./Jr. ","White Castle, La.  (Saint John) ",2003
6,"Alijah Bradley*","RB ","5-6 ",165,"So./Fr. ","Richmond, Calif.  (DeLaSalle Catholic) ",2003
15,"Steve Breaston*","WR ","6-1 ",177,"So./Fr. ","North Braddock, Pa.  (Woodland Hills) ",2003
7,"Spencer Brinton**","QB ","6-5 ",224,"5th/Sr. ","Hemet, Calif.  (Temecula Valley) ",2003
6,"Prescott Burgess*","LB ","6-3 ",215,"Fr./Fr. ","Warren, Ohio  (Warren G. Harding) ",2003
9,"Tyrece Butler****","WR ","6-3 ",210,"5th/Sr. ","Indianapolis, Ind.  (Decatur Central) ",2003
9,"Anton Campbell","RB ","5-11 ",193,"Fr./Fr. ","O'Fallon, Mo.  (Fort Zumwalt West) ",2003
26,"Mike Carl","DB ","6-0 ",189,"So./Fr. ","Troy, Mich.  (Athens) ",2003
55,"Andy Christopfel***","OL ","6-3 ",303,"Sr./Jr. ","Cincinnati, Ohio  (Elder) ",2003
2,"Shawn Crable","LB ","6-5 ",223,"Fr./Fr. ","Massillon, Ohio  (Washington) ",2003
49,"Brent Cummings*","CB ","5-11 ",191,"5th/Sr. ","Belding, Mich.  (Belding) ",2003
30,"Markus Curry**","CB ","5-11 ",181,"Jr./Jr. ","Detroit, Mich.  (Bishop Gallagher) ",2003
43,"Carl Diggs**** (c)","ILB ","6-1 ",242,"5th/Sr. ","Warren, Ohio  (Warren G. Harding) ",2003
32,"Kevin Dudley***","FB ","6-1 ",235,"Sr./Jr. ","Brookville, Ind.  (Franklin County) ",2003
89,"Tyler Ecker*","TE ","6-6 ",250,"So./Fr. ","El Dorado Hills, Calif.  (Oak Ridge) ",2003
1,"Braylon Edwards**","WR ","6-3 ",210,"Jr./Jr. ","Detroit, Mich.  (Bishop Gallagher) ",2003
31,"Brandent Englemon","DB ","5-11 ",190,"Fr./Fr. ","Covington, Ky.  (Holmes) ",2003
39,"Adam Finley***","P/PK ","6-4 ",209,"Sr./Jr. ","Greenwood, Ind.  (Center Grove) ",2003
86,"Jim Fisher**","TE ","6-5 ",251,"Sr./Jr. ","Huron, Ohio  (Huron) ",2003
64,"Jeff Gaston*","OL ","6-5 ",293,"Sr./Jr. ","Ridgewood, N.J.  (Bergen Catholic) ",2003
18,"Jermaine Gonzales***","WR ","6-2 ",215,"Sr./Jr. ","Pontiac, Mich.  (Orchard Lake St. Mary's) ",2003
12,"Matt Gutierrez*","QB ","6-4 ",219,"So./Fr. ","Concord, Calif.  (DeLaSalle) ",2003
29,"Leon Hall*","CB ","5-11 ",183,"Fr./Fr. ","Vista, Calif.  (Vista) ",2003
45,"David Harris","LB ","6-2 ",246,"So./Fr. ","Grand Rapids, Mich.  (Ottawa Hills) ",2003
96,"Larry Harrison*","DL ","6-3 ",304,"So./Fr. ","Detroit, Mich.  (Martin Luther King) ",2003
65,"Leo Henige Jr.*","OL ","6-4 ",334,"Jr./So. ","Chesaning, Mich.  (Chesaning) ",2003
90,"Norman Heuer****","DL ","6-5 ",288,"5th/Sr. ","Peoria, Ariz.  (Cactus) ",2003
4,"Darnell Hood*","CB ","5-11 ",189,"So./Fr. ","Detroit, Mich.  (Bishop Gallagher) ",2003
53,"David Hull","DL ","6-1 ",255,"Fr./Fr. ","Plymouth, Mich.  (Salem) ",2003
24,"Jerome Jackson*","RB ","5-11 ",200,"Fr./Fr. ","Saginaw, Mich.  (Saginaw) ",2003
3,"Marlin Jackson***","FS ","6-1 ",194,"Jr./Jr. ","Sharon, Pa.  (Sharon) ",2003
51,"Jeff Jansen","LB ","6-2 ",222,"Fr./Fr. ","Jackson, Mich.  (Jackson) ",2003
14,"Tyrone Jordan II","DB ","5-10 ",185,"Fr./Fr. ","Flushing, Mich.  (Flushing) ",2003
20,"Mike Kaselitz*","QB ","6-4 ",210,"5th/Sr. ","Grosse Pointe City, Mich.  (South) ",2003
95,"Alain Kashama****","DE ","6-5 ",263,"Sr./Sr. ","Montreal, Quebec  (Vieux Montreal) ",2003
13,"Jeff Kastl","QB ","6-3 ",218,"So./Fr. ","Clinton Township, Mich.  (Chippewa Valley) ",2003
37,"Zach Kaufman****","ILB ","6-1 ",232,"Sr./Sr. ","Claremont, Calif.  (Claremont) ",2003
22,"Ross Kesler*","WR ","6-2 ",204,"Sr./Jr. ","Warsaw, Ind.  (Warsaw) ",2003
76,"Mike Kolodziej*","OL ","6-7 ",304,"So./Fr. ","Joliet, Ill.  (Joliet Catholic Academy) ",2003
83,"Adam Kraus","TE ","6-6 ",273,"Fr./Fr. ","New Orleans, La.  (Brother Martin) ",2003
36,"Brian Lafer*","WR ","5-11 ",195,"Sr./Jr. ","Farmington Hill, Mich.  (North Farmington) ",2003
67,"Matt Lentz**","OL ","6-6 ",304,"Jr./So. ","Ortonville, Mich.  (Brandon) ",2003
34,"Joe Leoni","LB ","5-11 ",216,"So./Fr. ","Grand Blanc, Mich.  (Flint Powers) ",2003
21,"Jeremy LeSueur****","CB ","6-1 ",200,"5th/Sr. ","Holly Springs, Miss.  (Holly Springs) ",2003
77,"Jake Long","OL ","6-8 ",303,"Fr./Fr. ","Lapeer, Mich.  (Lapeer East) ",2003
82,"Mike Mandich","TE ","6-3 ",245,"Jr./So. ","Miami Lakes, Fla.  (Dade Christian) ",2003
52,"Ross Mann*","LS ","6-1 ",248,"Sr./Jr. ","Pikeville, Ky.  (Lexington Catholic) ",2003
58,"Roy Manning***","OLB ","6-2 ",240,"Sr./Jr. ","Saginaw, Mich.  (Saginaw) ",2003
13,"Grant Mason","WR ","6-0 ",189,"Jr./So. ","Pontiac, Mich.  (Orchard Lake St. Mary's) ",2003
88,"Tim Massaquoi**","TE ","6-4 ",236,"Jr./So. ","Allentown, Pa.  (Parkland) ",2003
94,"Pat Massey**","DL ","6-8 ",274,"Jr./So. ","Brecksville, Ohio  (Saint Ignatius) ",2003
80,"Chris Matsos","WR ","6-0 ",205,"Jr./So. ","New Boston, Mich.  (Huron) ",2003
36,"Scott McClintock**","ILB ","6-2 ",245,"Jr./So. ","Belle Vernon, Pa.  (Belle Vernon) ",2003
27,"Quinton McCoy","CB ","5-9 ",156,"Fr./Fr. ","Waterford, Mich.  (Valley Christian, Ariz.) ",2003
14,"Andy Mignery***","TE ","6-3 ",256,"5th/Sr. ","Hamilton, Ohio  (Hamilton) ",2003
31,"Craig Moore","PK ","5-10 ",177,"So./Fr. ","San Diego, Calif.  (The Bishop's School) ",2003
62,"Courtney Morgan***","OL ","6-3 ",300,"5th/Sr. ","Los Angeles, Calif.  (Westchester) ",2003
26,"Ryan Mundy*","DB ","6-1 ",192,"Fr./Fr. ","Wilkins Township, Pa.  (Woodland Hills) ",2003
84,"Kevin Murphy","TE ","6-5 ",257,"So./Fr. ","Grand Rapids, Mich.  (Forest Hills Central) ",2003
16,"John Navarre**** (c)","QB ","6-6 ",228,"5th/Sr. ","Cudahy, Wis.  (Cudahy) ",2003
10,"Troy Nienberg**","PK ","6-2 ",166,"Sr./Jr. ","Glandorf, Ohio  (Ottawa Glandorf) ",2003
93,"Alex Ofili*","DL ","6-4 ",280,"Jr./So. ","Ypsilanti, Mich.  (Ypsilanti) ",2003
40,"Obi Oluigbo","FB ","6-0 ",229,"So./Fr. ","Laurel, Md.  (Episcopal) ",2003
38,"B.J. Opong-Owusu","DB ","5-11 ",190,"So./Fr. ","West Bloomfield, Mich.  (Walled Lake Western) ",2003
77,"Tony Pape****","OL ","6-6 ",311,"5th/Sr. ","Clarendon Hills, Ill.  (Hinsdale South) ",2003
92,"Will Paul","DE ","6-3 ",263,"Fr./Fr. ","Chesterfield, Mo.  (Parkway West) ",2003
57,"Dave Pearson****","OL ","6-3 ",297,"5th/Sr. ","Brighton, Mich.  (Brighton) ",2003
97,"Luke Perl*","PK ","6-0 ",205,"Sr./Jr. ","Grand Rapids, Mich.  (Forest Hills Northern) ",2003
23,"Chris Perry****","RB ","6-1 ",218,"Sr./Sr. ","Advance, N.C.  (Fork Union Military Academy, Va.) ",2003
22,"Kyle Plummer","DB ","5-10 ",165,"Fr./Fr. ","Milford, Mich.  (Milford) ",2003
97,"Max Pollock","LB ","6-1 ",215,"Fr./Fr. ","Takoma Park, Md.  (Montgomery Blair) ",2003
46,"James Presley","FB ","6-2 ",218,"Fr./Fr. ","Milford, Mich.  (Milford) ",2003
55,"Jeremy Read","LB ","6-1 ",237,"Sr./Jr. ","San Diego, Calif.  (Rancho Bernardo) ",2003
42,"Lawrence Reid**","LB ","6-1 ",222,"Jr./So. ","Pickerington, Ohio  (Pickerington) ",2003
20,"Pierre Rembert*","RB ","6-0 ",216,"So./Fr. ","Milwaukee, Wis.  (Cudahy) ",2003
10,"Clayton Richard","QB ","6-4 ",227,"Fr./Fr. ","Lafayette, Ind.  (McCutcheon) ",2003
72,"Rueben Riley Jr.","OL ","6-3 ",310,"So./Fr. ","Grand Rapids, Mich.  (Creston) ",2003
38,"Garrett Rivas*","PK ","5-9 ",204,"Fr./Fr. ","Tampa, Fla.  (Jesuit) ",2003
3,"Ross Ryan","P ","6-0 ",207,"So./Fr. ","Franklin, Mich.  (Brother Rice) ",2003
66,"Paul Sarantos","LB ","6-3 ",243,"So./Fr. ","Portage, Mich.  (Northern) ",2003
59,"Joey Sarantos**","LB ","6-3 ",220,"Jr./So. ","Portage, Mich.  (Northern) ",2003
69,"David Schoonover","OL ","6-3 ",285,"Jr./So. ","DeWitt, Mich.  (DeWitt) ",2003
68,"Pat Sharrow","OL ","6-4 ",287,"Fr./Fr. ","Monroe, Mich.  (Monroe) ",2003
22,"Jon Shaw****","FS ","6-0 ",193,"5th/Sr. ","Coral Springs, Fla.  (St. Thomas Aquinas) ",2003
25,"Ernest Shazor**","DB ","6-4 ",217,"Jr./So. ","Detroit, Mich.  (Martin Luther King) ",2003
74,"Demeterius Solomon****","OL ","6-6 ",297,"5th/Sr. ","Flint, Mich.  (Northern) ",2003
2,"Mark Spencer","P ","6-0 ",213,"So./Fr. ","Ann Arbor, Mich.  (Pioneer) ",2003
85,"Dave Spytek","TE ","6-7 ",258,"Jr./So. ","Pewaukee, Wis.  (Catholic Memorial) ",2003
99,"Andy Stejskal*","WR ","6-4 ",203,"Sr./Jr. ","Ann Arbor, Mich.  (Pioneer) ",2003
79,"Adam Stenavich**","OL ","6-5 ",310,"Jr./So. ","Marshfield, Wis.  (Marshfield) ",2003
13,"Larry Stevens****","DL ","6-3 ",257,"Sr./Sr. ","Tacoma, Wash.  (Woodrow Wilson) ",2003
28,"Jacob Stewart**","DB ","6-0 ",209,"So./So. ","Ypsilanti, Mich.  (Ypsilanti) ",2003
94,"Matt Studenski","TE ","6-3 ",218,"Jr./So. ","Troy, Mich.  (Brother Rice) ",2003
17,"Carl Tabb*","WR ","6-2 ",192,"So./Fr. ","Ann Arbor, Mich.  (Huron) ",2003
35,"Brian Thompson*","FB ","6-2 ",235,"So./Fr. ","Saginaw, Mich.  (Nouvel Catholic) ",2003
5,"David Underwood***","RB ","6-0 ",225,"Jr./Jr. ","Madisonville, Texas  (Madisonville) ",2003
50,"Jeremy Van Alstyne*","DE ","6-4 ",255,"So./Fr. ","Greenwood, Ind.  (Center Grove) ",2003
78,"Gabe Watson**","DL ","6-4 ",337,"So./Fr. ","Novi, Mich.  (Southfield) ",2003
8,"Matt Wilde","QB ","6-2 ",186,"So./Fr. ","Troy, Mich.  (Seaholm) ",2003
56,"LaMarr Woodley*","DE ","6-2 ",263,"Fr./Fr. ","Saginaw, Mich.  (Saginaw) ",2003
99,"Pierre Woods**","OLB ","6-5 ",232,"Jr./So. ","Cleveland, Ohio  (Glenville) ",2003
33,"Charles Young III*","DB ","5-11 ",197,"Sr./Jr. ","Flint, Mich.  (Hamady) ",2003
35,"B.J. Askew***","FB ","6-3 ",233,"Sr./Sr. ","Cincinnati, Ohio  (Colerain) ",2002
8,"Jason Avant*","WR ","6-1 ",206,"Fr./Fr. ","Chicago, Ill.  (Carver) ",2002
75,"David Baas**","OL ","6-5 ",320,"Jr./So. ","Sarasota, Fla.  (Riverview) ",2002
64,"Stephen Baker","DL ","6-1 ",261,"5th/Sr. ","Valley Stream, N.Y.  (Central) ",2002
33,"Willis Barringer","DB ","5-11 ",198,"Fr./Fr. ","Toledo, Ohio  (Scott) ",2002
63,"Derek Bell","OL ","6-5 ",267,"So./Fr. ","Holland, Mich.  (Grand Rapids Catholic Central) ",2002
27,"Calvin Bell***","WR ","6-1 ",197,"Jr./Jr. ","Simi Valley, Calif.  (Simi Valley) ",2002
19,"Ronald Bellamy****","WR ","6-0 ",202,"Sr./Sr. ","New Orleans, La.  (Archbishop Shaw) ",2002
71,"Tom Berishaj","OL ","6-4 ",313,"Fr./Fr. ","Sterling Heights, Mich.  (Stevenson) ",2002
91,"Rondell Biggs","DL ","6-2 ",261,"Fr./Fr. ","Southfield, Mich.  (Southfield Lathrup) ",2002
54,"Mark Bihl","OL ","6-4 ",278,"Fr./Fr. ","Washington Court House, Ohio  (W.C.H.) ",2002
61,"Turner Booth","OL/LS ","6-2 ",278,"Fr./Fr. ","Baltimore, Md.  (Rockville) ",2002
