"","No","WL","Date","PF","Opponent","PA","Bowl","Team","offName"
"299","5","L","01-01-1949","14","Northwestern (IL)","20","Rose Bowl","California","University of California: Berkeley"
"300","6","L","01-02-1950","14","Ohio St.","17","Rose Bowl","California","University of California: Berkeley"
"301","7","L","01-01-1951","6","Michigan","14","Rose Bowl","California","University of California: Berkeley"
"302","8","L","01-01-1959","12","Iowa","38","Rose Bowl","California","University of California: Berkeley"
"303","9","L","12-15-1979","17","Temple (PA)","28","Garden State Bowl","California","University of California: Berkeley"
"304","10","W","12-31-1990","17","Wyoming","15","Copper Bowl","California","University of California: Berkeley"
"305","11","W","01-01-1992","37","Clemson (SC)","13","Florida Citrus Bowl","California","University of California: Berkeley"
"306","12","W","12-31-1993","37","Iowa","3","Alamo Bowl","California","University of California: Berkeley"
"307","13","L","12-25-1996","38","Navy (MD)","42","Aloha Bowl","California","University of California: Berkeley"
"308","14","W","12-26-2003","52","Virginia Tech","49","Insight Bowl","California","University of California: Berkeley"
"309","15","L","12-30-2004","31","Texas Tech","45","Holiday Bowl (1)","California","University of California: Berkeley"
"310","16","W","12-22-2005","35","Brigham Young (UT)","28","Las Vegas Bowl","California","University of California: Berkeley"
"311","17","W","12-28-2006","45","Texas A&M","10","Holiday Bowl (1)","California","University of California: Berkeley"
"312","18","W","12-31-2007","42","Air Force (CO)","36","Armed Forces Bowl","California","University of California: Berkeley"
"313","19","W","12-27-2008","24","Miami (FL)","17","Emerald Bowl","California","University of California: Berkeley"
"314","20","L","12-23-2009","27","Utah","37","Poinsettia Bowl","California","University of California: Berkeley"
"315","21","L","12-28-2011","10","Texas","21","Holiday Bowl","California","University of California: Berkeley"
"316","1","L","12-24-2005","48","Nevada","49","Hawaii Bowl","Central Florida","University of Central Florida"
"317","2","L","12-29-2007","3","Mississippi St.","10","Liberty Bowl","Central Florida","University of Central Florida"
"318","3","L","12-19-2009","24","Rutgers (NJ)","45","Saint Petersburg Bowl","Central Florida","University of Central Florida"
"319","4","W","12-31-2010","10","Georgia","6","Liberty Bowl","Central Florida","University of Central Florida"
"320","5","W","12-21-2012","38","Ball St. (IN)","17","Saint Petersburg Bowl","Central Florida","University of Central Florida"
"321","6","W","01-01-2014","52","Baylor (TX)","42","Fiesta Bowl","Central Florida","University of Central Florida"
"322","1","L","12-08-1990","24","San Jose St. (CA)","48","California Bowl","Central Michigan","Central Michigan University"
"323","2","L","12-15-1994","24","Nevada-Las Vegas","52","Las Vegas Bowl","Central Michigan","Central Michigan University"
"324","3","W","12-26-2006","31","Middle Tennessee St.","14","Motor City Bowl","Central Michigan","Central Michigan University"
"325","4","L","12-26-2007","48","Purdue (IN)","51","Motor City Bowl","Central Michigan","Central Michigan University"
"326","5","L","12-26-2008","21","Florida Atlantic","24","Motor City Bowl","Central Michigan","Central Michigan University"
"327","6","W","01-06-2010","44","Troy (AL)","41","GMAC Bowl","Central Michigan","Central Michigan University"
"328","7","W","12-26-2012","24","Western Kentucky","21","Little Caesars Pizza Bowl","Central Michigan","Central Michigan University"
"329","1","W","01-01-1947","18","Virginia Tech","6","Sun Bowl","Cincinnati (OH)","University of Cincinnati"
"330","2","L","01-01-1951","13","West Texas A&M","14","Sun Bowl","Cincinnati (OH)","University of Cincinnati"
"331","3","W","12-29-1997","35","Utah St.","19","Humanitarian Bowl","Cincinnati (OH)","University of Cincinnati"
"332","4","L","12-27-2000","14","Marshall (WV)","25","Motor City Bowl","Cincinnati (OH)","University of Cincinnati"
"333","5","L","12-29-2001","16","Toledo (OH)","23","Motor City Bowl","Cincinnati (OH)","University of Cincinnati"
"334","6","L","12-17-2002","19","North Texas","24","New Orleans Bowl","Cincinnati (OH)","University of Cincinnati"
"335","7","W","12-23-2004","32","Marshall (WV)","14","Fort Worth Bowl","Cincinnati (OH)","University of Cincinnati"
"336","8","W","01-06-2007","27","Western Michigan","24","International Bowl","Cincinnati (OH)","University of Cincinnati"
"337","9","W","12-22-2007","31","Southern Mississippi","21","Papajohns.com Bowl","Cincinnati (OH)","University of Cincinnati"
"338","10","L","01-01-2009","7","Virginia Tech","20","Orange Bowl","Cincinnati (OH)","University of Cincinnati"
"339","11","L","01-01-2010","24","Florida","51","Sugar Bowl","Cincinnati (OH)","University of Cincinnati"
"340","12","W","12-31-2011","31","Vanderbilt (TN)","24","Liberty Bowl","Cincinnati (OH)","University of Cincinnati"
"341","13","W","12-27-2012","48","Duke (NC)","34","Belk Bowl","Cincinnati (OH)","University of Cincinnati"
"342","14","L","12-28-2013","17","North Carolina","39","Belk Bowl","Cincinnati (OH)","University of Cincinnati"
"343","1","W","01-01-1940","6","Boston College (MA)","3","Cotton Bowl","Clemson (SC)","Clemson University"
"344","2","W","01-01-1949","24","Missouri","23","Gator Bowl","Clemson (SC)","Clemson University"
"345","3","W","01-01-1951","15","Miami (FL)","14","Orange Bowl","Clemson (SC)","Clemson University"
"346","4","L","01-01-1952","0","Miami (FL)","14","Gator Bowl","Clemson (SC)","Clemson University"
"347","5","L","01-01-1957","21","Colorado","27","Orange Bowl","Clemson (SC)","Clemson University"
"348","6","L","01-01-1959","0","Louisiana St.","7","Sugar Bowl","Clemson (SC)","Clemson University"
"349","7","W","12-19-1959","23","Texas Christian","7","Bluebonnet Bowl","Clemson (SC)","Clemson University"
"350","8","L","12-30-1977","3","Pittsburgh (PA)","34","Gator Bowl","Clemson (SC)","Clemson University"
"351","9","W","12-29-1978","17","Ohio St.","15","Gator Bowl","Clemson (SC)","Clemson University"
"352","10","L","12-31-1979","18","Baylor (TX)","24","Peach Bowl","Clemson (SC)","Clemson University"
"353","11","W","01-01-1982","22","Nebraska","15","Orange Bowl","Clemson (SC)","Clemson University"
"354","12","L","12-21-1985","13","Minnesota","20","Independence Bowl","Clemson (SC)","Clemson University"
"355","13","W","12-27-1986","27","Stanford (CA)","21","Gator Bowl","Clemson (SC)","Clemson University"
"356","14","W","01-01-1988","35","Penn St.","10","Florida Citrus Bowl","Clemson (SC)","Clemson University"
"357","15","W","01-02-1989","13","Oklahoma","6","Florida Citrus Bowl","Clemson (SC)","Clemson University"
"358","16","W","12-30-1989","27","West Virginia","7","Gator Bowl","Clemson (SC)","Clemson University"
"359","17","W","01-01-1991","30","Illinois","0","Hall of Fame Bowl","Clemson (SC)","Clemson University"
"360","18","L","01-01-1992","13","California","37","Florida Citrus Bowl","Clemson (SC)","Clemson University"
"361","19","W","12-31-1993","14","Kentucky","13","Peach Bowl","Clemson (SC)","Clemson University"
"362","20","L","01-01-1996","0","Syracuse (NY)","41","Gator Bowl","Clemson (SC)","Clemson University"
"363","21","L","12-28-1996","7","Louisiana St.","10","Peach Bowl","Clemson (SC)","Clemson University"
"364","22","L","01-02-1998","17","Auburn (AL)","21","Peach Bowl","Clemson (SC)","Clemson University"
"365","23","L","12-30-1999","7","Mississippi St.","17","Peach Bowl","Clemson (SC)","Clemson University"
"366","24","L","01-01-2001","20","Virginia Tech","41","Gator Bowl","Clemson (SC)","Clemson University"
"367","25","W","12-31-2001","49","Louisiana Tech","24","Humanitarian Bowl","Clemson (SC)","Clemson University"
"368","26","L","12-23-2002","15","Texas Tech","55","Tangerine Bowl","Clemson (SC)","Clemson University"
"369","27","W","01-02-2004","27","Tennessee","14","Peach Bowl","Clemson (SC)","Clemson University"
"370","28","W","12-27-2005","19","Colorado","10","Champs Sports Bowl","Clemson (SC)","Clemson University"
"371","29","L","12-29-2006","20","Kentucky","28","Music City Bowl","Clemson (SC)","Clemson University"
"372","30","L","12-31-2007","20","Auburn (AL)","23","Peach Bowl","Clemson (SC)","Clemson University"
"373","31","L","01-01-2009","21","Nebraska","26","Gator Bowl","Clemson (SC)","Clemson University"
"374","32","W","12-27-2009","21","Kentucky","13","Music City Bowl","Clemson (SC)","Clemson University"
"375","33","L","12-31-2010","26","South Florida","31","Meineke Car Care Bowl","Clemson (SC)","Clemson University"
"376","34","L","01-04-2012","33","West Virginia","70","Orange Bowl","Clemson (SC)","Clemson University"
"377","35","W","12-31-2012","25","Louisiana St.","24","Peach Bowl","Clemson (SC)","Clemson University"
"378","36","W","01-03-2014","40","Ohio St.","35","Orange Bowl","Clemson (SC)","Clemson University"
"379","1","L","01-01-1938","14","Rice (TX)","28","Cotton Bowl","Colorado","University of Colorado at Boulder"
"380","2","W","01-01-1957","27","Clemson (SC)","21","Orange Bowl","Colorado","University of Colorado at Boulder"
"381","3","L","01-01-1962","7","Louisiana St.","25","Orange Bowl","Colorado","University of Colorado at Boulder"
"382","4","W","12-23-1967","31","Miami (FL)","21","Bluebonnet Bowl","Colorado","University of Colorado at Boulder"
"383","5","W","12-13-1969","47","Alabama","33","Liberty Bowl","Colorado","University of Colorado at Boulder"
"384","6","L","12-12-1970","3","Tulane (LA)","17","Liberty Bowl","Colorado","University of Colorado at Boulder"
"385","7","W","12-31-1971","29","Houston (TX)","17","Bluebonnet Bowl","Colorado","University of Colorado at Boulder"
"386","8","L","12-30-1972","3","Auburn (AL)","24","Gator Bowl","Colorado","University of Colorado at Boulder"
"387","9","L","12-27-1975","21","Texas","38","Bluebonnet Bowl","Colorado","University of Colorado at Boulder"
"388","10","L","01-01-1977","10","Ohio St.","27","Orange Bowl","Colorado","University of Colorado at Boulder"
"389","11","L","12-30-1985","17","Washington","20","Freedom Bowl","Colorado","University of Colorado at Boulder"
"390","12","L","12-31-1986","9","Baylor (TX)","21","Bluebonnet Bowl","Colorado","University of Colorado at Boulder"
"391","13","L","12-29-1988","17","Brigham Young (UT)","20","Freedom Bowl","Colorado","University of Colorado at Boulder"
"392","14","L","01-01-1990","6","Notre Dame (IN)","21","Orange Bowl","Colorado","University of Colorado at Boulder"
"393","15","W","01-01-1991","10","Notre Dame (IN)","9","Orange Bowl","Colorado","University of Colorado at Boulder"
"394","16","L","12-28-1991","25","Alabama","30","Blockbuster Bowl","Colorado","University of Colorado at Boulder"
"395","17","L","01-01-1993","22","Syracuse (NY)","26","Fiesta Bowl","Colorado","University of Colorado at Boulder"
"396","18","W","12-25-1993","41","Fresno St. (CA)","30","Aloha Bowl","Colorado","University of Colorado at Boulder"
"397","19","W","01-02-1995","41","Notre Dame (IN)","24","Fiesta Bowl","Colorado","University of Colorado at Boulder"
"398","20","W","01-01-1996","38","Oregon","6","Cotton Bowl","Colorado","University of Colorado at Boulder"
"399","21","W","12-30-1996","33","Washington","21","Holiday Bowl (1)","Colorado","University of Colorado at Boulder"
"400","22","W","12-25-1998","51","Oregon","43","Aloha Classic","Colorado","University of Colorado at Boulder"
"401","23","W","12-31-1999","62","Boston College (MA)","28","Insight.com Bowl","Colorado","University of Colorado at Boulder"
"402","24","L","01-01-2002","16","Oregon","38","Fiesta Bowl","Colorado","University of Colorado at Boulder"
"403","25","L","12-28-2002","28","Wisconsin","31","Alamo Bowl","Colorado","University of Colorado at Boulder"
"404","26","W","12-29-2004","33","Texas-El Paso","28","Houston Bowl","Colorado","University of Colorado at Boulder"
"405","27","L","12-27-2005","10","Clemson (SC)","19","Champs Sports Bowl","Colorado","University of Colorado at Boulder"
"406","28","L","12-30-2007","24","Alabama","30","Independence Bowl","Colorado","University of Colorado at Boulder"
"407","1","L","01-01-1949","20","Occidental (CA)","21","Raisin Bowl","Colorado St.","Colorado State University"
"408","2","W","12-29-1990","32","Oregon","31","Freedom Bowl","Colorado St.","Colorado State University"
"409","3","L","12-30-1994","14","Michigan","24","Holiday Bowl (1)","Colorado St.","Colorado State University"
"410","4","L","12-29-1995","21","Kansas St.","54","Holiday Bowl (1)","Colorado St.","Colorado State University"
"411","5","W","12-29-1997","35","Missouri","24","Holiday Bowl (1)","Colorado St.","Colorado State University"
"412","6","L","12-31-1999","17","Southern Mississippi","23","Liberty Bowl","Colorado St.","Colorado State University"
"413","7","W","12-29-2000","22","Louisville (KY)","17","Liberty Bowl","Colorado St.","Colorado State University"
"414","8","W","12-18-2001","45","North Texas","20","New Orleans Bowl","Colorado St.","Colorado State University"
"415","9","L","12-31-2002","3","Texas Christian","17","Liberty Bowl","Colorado St.","Colorado State University"
"416","10","L","12-31-2003","21","Boston College (MA)","35","San Francisco Bowl","Colorado St.","Colorado State University"
"417","11","L","12-22-2005","30","Navy (MD)","51","Poinsettia Bowl","Colorado St.","Colorado State University"
"418","12","W","12-20-2008","40","Fresno St. (CA)","35","New Mexico Bowl","Colorado St.","Colorado State University"
