"Year","Conference","Team"
1913,"Independent","Arkansas St."
1914,"Independent","Arkansas St."
1915,"Independent","Arkansas St."
1916,"Independent","Arkansas St."
1917,"Independent","Arkansas St."
1918,"Independent","Arkansas St."
1919,"Independent","Arkansas St."
1920,"Independent","Arkansas St."
1921,"Independent","Arkansas St."
1922,"Independent","Arkansas St."
1923,"Independent","Arkansas St."
1924,"Independent","Arkansas St."
1925,"Independent","Arkansas St."
1926,"Independent","Arkansas St."
1927,"Independent","Arkansas St."
1928,"Independent","Arkansas St."
1929,"Independent","Arkansas St."
1930,"Arkansas Intercollegiate Conference","Arkansas St."
1931,"Arkansas Intercollegiate Conference","Arkansas St."
1932,"Arkansas Intercollegiate Conference","Arkansas St."
1933,"Arkansas Intercollegiate Conference","Arkansas St."
1934,"Arkansas Intercollegiate Conference","Arkansas St."
1935,"Arkansas Intercollegiate Conference","Arkansas St."
1936,"Arkansas Intercollegiate Conference","Arkansas St."
1937,"Arkansas Intercollegiate Conference","Arkansas St."
1938,"Arkansas Intercollegiate Conference","Arkansas St."
1939,"Arkansas Intercollegiate Conference","Arkansas St."
1940,"Arkansas Intercollegiate Conference","Arkansas St."
1941,"Arkansas Intercollegiate Conference","Arkansas St."
1942,"Arkansas Intercollegiate Conference","Arkansas St."
1943,"Arkansas Intercollegiate Conference","Arkansas St."
1944,"Arkansas Intercollegiate Conference","Arkansas St."
1945,"Arkansas Intercollegiate Conference","Arkansas St."
1946,"Arkansas Intercollegiate Conference","Arkansas St."
1947,"Arkansas Intercollegiate Conference","Arkansas St."
1948,"Arkansas Intercollegiate Conference","Arkansas St."
1949,"Arkansas Intercollegiate Conference","Arkansas St."
1950,"Arkansas Intercollegiate Conference","Arkansas St."
1951,"Independent","Arkansas St."
1952,"Independent","Arkansas St."
1953,"Independent","Arkansas St."
1954,"Independent","Arkansas St."
1955,"Independent","Arkansas St."
1956,"Independent","Arkansas St."
1957,"Independent","Arkansas St."
1958,"Independent","Arkansas St."
1959,"Independent","Arkansas St."
1960,"Independent","Arkansas St."
1961,"Independent","Arkansas St."
1962,"Independent","Arkansas St."
1963,"Independent","Arkansas St."
1964,"Southland Conference","Arkansas St."
1965,"Southland Conference","Arkansas St."
1966,"Southland Conference","Arkansas St."
1967,"Southland Conference","Arkansas St."
1968,"Southland Conference","Arkansas St."
1969,"Southland Conference","Arkansas St."
1970,"Southland Conference","Arkansas St."
1971,"Southland Conference","Arkansas St."
1972,"Southland Conference","Arkansas St."
1973,"Southland Conference","Arkansas St."
1974,"Southland Conference","Arkansas St."
1975,"Southland Conference","Arkansas St."
1976,"Southland Conference","Arkansas St."
1977,"Southland Conference","Arkansas St."
1978,"Southland Conference","Arkansas St."
1979,"Southland Conference","Arkansas St."
1980,"Southland Conference","Arkansas St."
1981,"Southland Conference","Arkansas St."
1982,"Southland Conference","Arkansas St."
1983,"Southland Conference","Arkansas St."
1984,"Southland Conference","Arkansas St."
1985,"Southland Conference","Arkansas St."
1986,"Southland Conference","Arkansas St."
1987,"Division I-AA Independent","Arkansas St."
1988,"Division I-AA Independent","Arkansas St."
1989,"Division I-AA Independent","Arkansas St."
1990,"Division I-AA Independent","Arkansas St."
1991,"Division I-AA Independent","Arkansas St."
1992,"Division I-A Independent","Arkansas St."
1993,"Big West Conference","Arkansas St."
1994,"Big West Conference","Arkansas St."
1995,"Big West Conference","Arkansas St."
1996,"Division I-A Independent","Arkansas St."
1997,"Division I-A Independent","Arkansas St."
1998,"Division I-A Independent","Arkansas St."
1999,"Big West Conference","Arkansas St."
2000,"Big West Conference","Arkansas St."
2001,"Sun Belt Conference","Arkansas St."
2002,"Sun Belt Conference","Arkansas St."
2003,"Sun Belt Conference","Arkansas St."
2004,"Sun Belt Conference","Arkansas St."
2005,"Sun Belt Conference","Arkansas St."
2006,"Sun Belt Conference","Arkansas St."
2007,"Sun Belt Conference","Arkansas St."
2008,"Sun Belt Conference","Arkansas St."
2009,"Sun Belt Conference","Arkansas St."
2010,"Sun Belt Conference","Arkansas St."
2011,"Sun Belt Conference","Arkansas St."
2012,"Sun Belt Conference","Arkansas St."
2013,"Sun Belt Conference","Arkansas St."
1890,"Independent","Army (NY)"
1891,"Independent","Army (NY)"
1892,"Independent","Army (NY)"
1893,"Independent","Army (NY)"
1894,"Independent","Army (NY)"
1895,"Independent","Army (NY)"
1896,"Independent","Army (NY)"
1897,"Independent","Army (NY)"
1898,"Independent","Army (NY)"
1899,"Independent","Army (NY)"
1900,"Independent","Army (NY)"
1901,"Independent","Army (NY)"
1902,"Independent","Army (NY)"
1903,"Independent","Army (NY)"
1904,"Independent","Army (NY)"
1905,"Independent","Army (NY)"
1906,"Independent","Army (NY)"
1907,"Independent","Army (NY)"
1908,"Independent","Army (NY)"
1909,"Independent","Army (NY)"
1910,"Independent","Army (NY)"
1911,"Independent","Army (NY)"
1912,"Independent","Army (NY)"
1913,"Independent","Army (NY)"
1914,"Independent","Army (NY)"
1915,"Independent","Army (NY)"
1916,"Independent","Army (NY)"
1917,"Independent","Army (NY)"
1918,"Independent","Army (NY)"
1919,"Independent","Army (NY)"
1920,"Independent","Army (NY)"
1921,"Independent","Army (NY)"
1922,"Independent","Army (NY)"
1923,"Independent","Army (NY)"
1924,"Independent","Army (NY)"
1925,"Independent","Army (NY)"
1926,"Independent","Army (NY)"
1927,"Independent","Army (NY)"
1928,"Independent","Army (NY)"
1929,"Independent","Army (NY)"
1930,"Independent","Army (NY)"
1931,"Independent","Army (NY)"
1932,"Independent","Army (NY)"
1933,"Independent","Army (NY)"
1934,"Independent","Army (NY)"
1935,"Independent","Army (NY)"
1936,"Independent","Army (NY)"
1937,"Independent","Army (NY)"
1938,"Independent","Army (NY)"
1939,"Independent","Army (NY)"
1940,"Independent","Army (NY)"
1941,"Independent","Army (NY)"
1942,"Independent","Army (NY)"
1943,"Independent","Army (NY)"
1944,"Independent","Army (NY)"
1945,"Independent","Army (NY)"
1946,"Independent","Army (NY)"
1947,"Independent","Army (NY)"
1948,"Independent","Army (NY)"
1949,"Independent","Army (NY)"
1950,"Independent","Army (NY)"
1951,"Independent","Army (NY)"
1952,"Independent","Army (NY)"
1953,"Independent","Army (NY)"
1954,"Independent","Army (NY)"
1955,"Independent","Army (NY)"
1956,"Independent","Army (NY)"
1957,"Independent","Army (NY)"
1958,"Independent","Army (NY)"
1959,"Independent","Army (NY)"
1960,"Independent","Army (NY)"
1961,"Independent","Army (NY)"
1962,"Independent","Army (NY)"
1963,"Independent","Army (NY)"
1964,"Independent","Army (NY)"
1965,"Independent","Army (NY)"
1966,"Independent","Army (NY)"
1967,"Independent","Army (NY)"
1968,"Independent","Army (NY)"
1969,"Independent","Army (NY)"
1970,"Independent","Army (NY)"
1971,"Independent","Army (NY)"
1972,"Independent","Army (NY)"
1973,"Division I Independent","Army (NY)"
1974,"Division I Independent","Army (NY)"
1975,"Division I Independent","Army (NY)"
1976,"Division I Independent","Army (NY)"
1977,"Division I Independent","Army (NY)"
1978,"Division I-A Independent","Army (NY)"
1979,"Division I-A Independent","Army (NY)"
1980,"Division I-A Independent","Army (NY)"
1981,"Division I-A Independent","Army (NY)"
1982,"Division I-A Independent","Army (NY)"
1983,"Division I-A Independent","Army (NY)"
1984,"Division I-A Independent","Army (NY)"
1985,"Division I-A Independent","Army (NY)"
1986,"Division I-A Independent","Army (NY)"
1987,"Division I-A Independent","Army (NY)"
1988,"Division I-A Independent","Army (NY)"
1989,"Division I-A Independent","Army (NY)"
1990,"Division I-A Independent","Army (NY)"
1991,"Division I-A Independent","Army (NY)"
1992,"Division I-A Independent","Army (NY)"
1993,"Division I-A Independent","Army (NY)"
1994,"Division I-A Independent","Army (NY)"
1995,"Division I-A Independent","Army (NY)"
1996,"Division I-A Independent","Army (NY)"
1997,"Division I-A Independent","Army (NY)"
1998,"Conference USA","Army (NY)"
1999,"Conference USA","Army (NY)"
2000,"Conference USA","Army (NY)"
2001,"Conference USA","Army (NY)"
2002,"Conference USA","Army (NY)"
2003,"Conference USA","Army (NY)"
2004,"Conference USA","Army (NY)"
2005,"Division I-A Independent","Army (NY)"
2006,"Division I-A Independent","Army (NY)"
2007,"Division I-A Independent","Army (NY)"
2008,"Division I-A Independent","Army (NY)"
2009,"Division I-A Independent","Army (NY)"
2010,"Division I-A Independent","Army (NY)"
2011,"Division I-A Independent","Army (NY)"
2012,"Division I-A Independent","Army (NY)"
2013,"Division I-A Independent","Army (NY)"
1891,"Independent","Auburn (AL)"
1892,"Independent","Auburn (AL)"
1893,"Independent","Auburn (AL)"
1894,"Independent","Auburn (AL)"
1895,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1896,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1897,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1898,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1899,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1900,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1901,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1902,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1903,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1904,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1905,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1906,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1907,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1908,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1909,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1910,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1911,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1912,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1913,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1914,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1915,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1916,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1917,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1918,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1919,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1920,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1921,"Southern Intercollegiate Athletic Association","Auburn (AL)"
1922,"Southern Conference","Auburn (AL)"
1923,"Southern Conference","Auburn (AL)"
1924,"Southern Conference","Auburn (AL)"
1925,"Southern Conference","Auburn (AL)"
1926,"Southern Conference","Auburn (AL)"
1927,"Southern Conference","Auburn (AL)"
1928,"Southern Conference","Auburn (AL)"
1929,"Southern Conference","Auburn (AL)"
1930,"Southern Conference","Auburn (AL)"
1931,"Southern Conference","Auburn (AL)"
1932,"Southern Conference","Auburn (AL)"
1933,"Southeastern Conference","Auburn (AL)"
1934,"Southeastern Conference","Auburn (AL)"
1935,"Southeastern Conference","Auburn (AL)"
1936,"Southeastern Conference","Auburn (AL)"
1937,"Southeastern Conference","Auburn (AL)"
1938,"Southeastern Conference","Auburn (AL)"
1939,"Southeastern Conference","Auburn (AL)"
1940,"Southeastern Conference","Auburn (AL)"
1941,"Southeastern Conference","Auburn (AL)"
1942,"Southeastern Conference","Auburn (AL)"
1943,"Southeastern Conference","Auburn (AL)"
1944,"Southeastern Conference","Auburn (AL)"
1945,"Southeastern Conference","Auburn (AL)"
1946,"Southeastern Conference","Auburn (AL)"
1947,"Southeastern Conference","Auburn (AL)"
1948,"Southeastern Conference","Auburn (AL)"
1949,"Southeastern Conference","Auburn (AL)"
1950,"Southeastern Conference","Auburn (AL)"
1951,"Southeastern Conference","Auburn (AL)"
1952,"Southeastern Conference","Auburn (AL)"
1953,"Southeastern Conference","Auburn (AL)"
1954,"Southeastern Conference","Auburn (AL)"
1955,"Southeastern Conference","Auburn (AL)"
1956,"Southeastern Conference","Auburn (AL)"
1957,"Southeastern Conference","Auburn (AL)"
1958,"Southeastern Conference","Auburn (AL)"
1959,"Southeastern Conference","Auburn (AL)"
1960,"Southeastern Conference","Auburn (AL)"
1961,"Southeastern Conference","Auburn (AL)"
1962,"Southeastern Conference","Auburn (AL)"
1963,"Southeastern Conference","Auburn (AL)"
1964,"Southeastern Conference","Auburn (AL)"
1965,"Southeastern Conference","Auburn (AL)"
1966,"Southeastern Conference","Auburn (AL)"
1967,"Southeastern Conference","Auburn (AL)"
1968,"Southeastern Conference","Auburn (AL)"
1969,"Southeastern Conference","Auburn (AL)"
1970,"Southeastern Conference","Auburn (AL)"
1971,"Southeastern Conference","Auburn (AL)"
1972,"Southeastern Conference","Auburn (AL)"
1973,"Southeastern Conference","Auburn (AL)"
1974,"Southeastern Conference","Auburn (AL)"
1975,"Southeastern Conference","Auburn (AL)"
1976,"Southeastern Conference","Auburn (AL)"
1977,"Southeastern Conference","Auburn (AL)"
1978,"Southeastern Conference","Auburn (AL)"
1979,"Southeastern Conference","Auburn (AL)"
1980,"Southeastern Conference","Auburn (AL)"
1981,"Southeastern Conference","Auburn (AL)"
1982,"Southeastern Conference","Auburn (AL)"
1983,"Southeastern Conference","Auburn (AL)"
1984,"Southeastern Conference","Auburn (AL)"
1985,"Southeastern Conference","Auburn (AL)"
1986,"Southeastern Conference","Auburn (AL)"
1987,"Southeastern Conference","Auburn (AL)"
1988,"Southeastern Conference","Auburn (AL)"
1989,"Southeastern Conference","Auburn (AL)"
1990,"Southeastern Conference","Auburn (AL)"
1991,"Southeastern Conference","Auburn (AL)"
1992,"Southeastern Conference","Auburn (AL)"
1993,"Southeastern Conference","Auburn (AL)"
1994,"Southeastern Conference","Auburn (AL)"
1995,"Southeastern Conference","Auburn (AL)"
1996,"Southeastern Conference","Auburn (AL)"
1997,"Southeastern Conference","Auburn (AL)"
1998,"Southeastern Conference","Auburn (AL)"
1999,"Southeastern Conference","Auburn (AL)"
2000,"Southeastern Conference","Auburn (AL)"
2001,"Southeastern Conference","Auburn (AL)"
2002,"Southeastern Conference","Auburn (AL)"
2003,"Southeastern Conference","Auburn (AL)"
2004,"Southeastern Conference","Auburn (AL)"
2005,"Southeastern Conference","Auburn (AL)"
2006,"Southeastern Conference","Auburn (AL)"
2007,"Southeastern Conference","Auburn (AL)"
2008,"Southeastern Conference","Auburn (AL)"
2009,"Southeastern Conference","Auburn (AL)"
2010,"Southeastern Conference","Auburn (AL)"
2011,"Southeastern Conference","Auburn (AL)"
2012,"Southeastern Conference","Auburn (AL)"
2013,"Southeastern Conference","Auburn (AL)"
1924,"Independent","Ball St. (IN)"
1925,"Independent","Ball St. (IN)"
1926,"Independent","Ball St. (IN)"
1927,"Independent","Ball St. (IN)"
1928,"Independent","Ball St. (IN)"
1929,"Independent","Ball St. (IN)"
1930,"Independent","Ball St. (IN)"
1931,"Independent","Ball St. (IN)"
1932,"Independent","Ball St. (IN)"
1933,"Independent","Ball St. (IN)"
1934,"Indiana Intercollegiate Conference","Ball St. (IN)"
1935,"Indiana Intercollegiate Conference","Ball St. (IN)"
1936,"Indiana Intercollegiate Conference","Ball St. (IN)"
1937,"Indiana Intercollegiate Conference","Ball St. (IN)"
1938,"Indiana Intercollegiate Conference","Ball St. (IN)"
1939,"Indiana Intercollegiate Conference","Ball St. (IN)"
1940,"Indiana Intercollegiate Conference","Ball St. (IN)"
1941,"Indiana Intercollegiate Conference","Ball St. (IN)"
1942,"Indiana Intercollegiate Conference","Ball St. (IN)"
1943,"Indiana Intercollegiate Conference","Ball St. (IN)"
1944,"Indiana Intercollegiate Conference","Ball St. (IN)"
