"No","Year","Record","APRank","CoachRank","Team","offName"
"1","1939","9-2-0","11","","Boston College (MA)","Boston College"
"2","1940","11-0-0","5","","Boston College (MA)","Boston College"
"3","1942","8-2-0","8","","Boston College (MA)","Boston College"
"4","1983","9-3-0","19","20","Boston College (MA)","Boston College"
"5","1984","10-2-0","5","4","Boston College (MA)","Boston College"
"6","1986","9-3-0","19","18","Boston College (MA)","Boston College"
"7","1992","8-3-1","21","21","Boston College (MA)","Boston College"
"8","1993","9-3-0","13","12","Boston College (MA)","Boston College"
"9","1994","7-4-1","23","22","Boston College (MA)","Boston College"
"10","2001","8-4-0","21","23","Boston College (MA)","Boston College"
"11","2004","9-3-0","21","21","Boston College (MA)","Boston College"
"12","2005","9-3-0","18","17","Boston College (MA)","Boston College"
"13","2006","10-3-0","20","20","Boston College (MA)","Boston College"
"14","2007","11-3-0","10","11","Boston College (MA)","Boston College"
"1","2003","11-3-0","23","23","Bowling Green (OH)","Bowling Green State University"
"1","1977","9-2-0","20","16","Brigham Young (UT)","Brigham Young University"
"2","1979","11-1-0","13","12","Brigham Young (UT)","Brigham Young University"
"3","1980","12-1-0","12","11","Brigham Young (UT)","Brigham Young University"
"4","1981","11-2-0","13","11","Brigham Young (UT)","Brigham Young University"
"5","1983","11-1-0","7","7","Brigham Young (UT)","Brigham Young University"
"6","1984","13-0-0","1","1","Brigham Young (UT)","Brigham Young University"
"7","1985","11-3-0","16","17","Brigham Young (UT)","Brigham Young University"
"8","1989","10-3-0","22","18","Brigham Young (UT)","Brigham Young University"
"9","1990","10-3-0","22","17","Brigham Young (UT)","Brigham Young University"
"10","1991","8-3-2","23","23","Brigham Young (UT)","Brigham Young University"
"11","1994","10-3-0","18","10","Brigham Young (UT)","Brigham Young University"
"12","1996","14-1-0","5","5","Brigham Young (UT)","Brigham Young University"
"13","2001","12-2-0","25","24","Brigham Young (UT)","Brigham Young University"
"14","2006","11-2-0","16","15","Brigham Young (UT)","Brigham Young University"
"15","2007","11-2-0","14","14","Brigham Young (UT)","Brigham Young University"
"16","2008","10-3-0","25","21","Brigham Young (UT)","Brigham Young University"
"17","2009","11-2-0","12","12","Brigham Young (UT)","Brigham Young University"
"18","2011","10-3-0","","25","Brigham Young (UT)","Brigham Young University"
"1","1937","10-0-1","2","","California","University of California: Berkeley"
"2","1938","10-1-0","14","","California","University of California: Berkeley"
"3","1947","9-1-0","15","","California","University of California: Berkeley"
"4","1948","10-1-0","4","","California","University of California: Berkeley"
"5","1949","10-1-0","3","","California","University of California: Berkeley"
"6","1950","9-1-1","5","4","California","University of California: Berkeley"
"7","1951","8-2-0","12","12","California","University of California: Berkeley"
"8","1958","7-4-0","16","16","California","University of California: Berkeley"
"9","1975","8-3-0","14","15","California","University of California: Berkeley"
"10","1991","10-2-0","8","7","California","University of California: Berkeley"
"11","1993","9-4-0","25","24","California","University of California: Berkeley"
"12","2004","10-2-0","9","9","California","University of California: Berkeley"
"13","2005","8-4-0","25","25","California","University of California: Berkeley"
"14","2006","10-3-0","14","14","California","University of California: Berkeley"
"15","2008","9-4-0","","25","California","University of California: Berkeley"
"1","2010","11-3-0","21","20","Central Florida","University of Central Florida"
"2","2013","12-1-0","10","12","Central Florida","University of Central Florida"
"1","2009","12-2-0","23","24","Central Michigan","Central Michigan University"
"1","2007","10-3-0","17","20","Cincinnati (OH)","University of Cincinnati"
"2","2008","11-3-0","17","17","Cincinnati (OH)","University of Cincinnati"
"3","2009","12-1-0","8","9","Cincinnati (OH)","University of Cincinnati"
"4","2011","10-3-0","25","21","Cincinnati (OH)","University of Cincinnati"
"5","2012","10-3-0","","22","Cincinnati (OH)","University of Cincinnati"
"1","1939","9-1-0","12","","Clemson (SC)","Clemson University"
"2","1948","11-0-0","11","","Clemson (SC)","Clemson University"
"3","1950","9-0-1","10","12","Clemson (SC)","Clemson University"
"4","1951","7-3-0","20","","Clemson (SC)","Clemson University"
"5","1956","7-2-2","19","","Clemson (SC)","Clemson University"
"6","1957","7-3-0","","18","Clemson (SC)","Clemson University"
"7","1958","8-3-0","12","13","Clemson (SC)","Clemson University"
"8","1959","9-2-0","11","11","Clemson (SC)","Clemson University"
"9","1977","8-3-1","19","","Clemson (SC)","Clemson University"
"10","1978","11-1-0","6","7","Clemson (SC)","Clemson University"
"11","1981","12-0-0","1","1","Clemson (SC)","Clemson University"
