name,position,team,year,poy,team1,team2,team3
Bill Fischer,G,Notre Dame,1947,,1,,
Charles Bednarik,C,Penn,1947,,1,,
John Lujack,B,Notre Dame,1947,,1,,
Robert Chappuis,B,Michigan,1947,,1,,
Doak Walker,B,Southern Methodist,1947,,1,,
Anthony Minisi,B,Penn,1947,,1,,
Charlie Conerly,B,Mississippi,1947,,1,,
Bobby Layne,B,Texas,1947,,1,,
Burr Baldwin,E,UCLA,1946,,1,,
Hubert Bechtol,E,Texas,1946,,1,,
Henry Foldberg,E,Army,1946,,1,,
George Connor,T,Notre Dame,1946,,1,,
Richard Huffman,T,Tennessee,1946,,1,,
Warren Amling,T,Ohio State,1946,,1,,
Alex Agase,G,Illinois,1946,,1,,
Weldon Humble,G,Rice,1946,,1,,
Paul Duke,C,Georgia Tech,1946,,1,,
John Lujack,B,Notre Dame,1946,,1,,
Charles Trippi,B,Georgia,1946,,1,,
Glenn Davis,B,Army,1946,,1,,
"Felix ""Doc"" Blanchard",B,Army,1946,,1,,
Max Morris,E, Northwestern,1945,,1,,
"H. Richard Duden, Jr.",E, Navy,1945,,1,,
Hubert Bechtol,E, Texas,1945,,1,,
Bob Ravensberg,E, Indiana,1945,,1,,
"DeWitt ""Tex"" Coulter",T, Army,1945,,1,,
George Savitsky,T, Penn,1945,,1,,
John F. Green,G, Army,1945,,1,,
Warren E. Amling,G, Ohio State,1945,,1,,
Richard Scott,C, Navy,1945,,1,,
Vaughn Mancha,C, Alabama,1945,,1,,
Herman Wedemeyer,B, St. Mary's CA,1945,,1,,
Robert Fenimore,B, Oklahoma A&M,1945,,1,,
Glenn W. Davis,B, Army,1945,,1,,
"Felix ""Doc"" Blanchard",B, Army,1945,,1,,
Philip Tinsley,E,Georgia Tech,1944,,1,,
John Dugger,E,Ohio State,1944,,1,,
Paul Walker,E,Yale,1944,,1,,
Donald B. Whitmire,T,Navy,1944,,1,,
John Ferraro,T,Southern California,1944,,1,,
William C. Hackett,G,Ohio State,1944,,1,,
Benjamin S. Chase,G,Navy,1944,,1,,
Caleb Warrington,C,Auburn,1944,,1,,
John Tavener,C,Indiana,1944,,1,,
Leslie Horvath,B,Ohio State,1944,,1,,
Robert T. Jenkins,B,Navy,1944,,1,,
Glenn W. Davis,B,Army,1944,,1,,
"Felix ""Doc"" Blanchard",B,Army,1944,,1,,
Ralph Heywood,E,Southern California,1943,,1,,
John Yonakor,E,Notre Dame,1943,,1,,
Donald B. Whitmire,T,Navy,1943,,1,,
James J. White,T,Notre Dame,1943,,1,,
Alex Agase,G,Purdue,1943,,1,,
John W. Weber,G,Georgia Tech,1943,,1,,
Pat Filley,G,Notre Dame,1943,,1,,
Casimir Myslinski,C,Army,1943,,1,,
Creighton Miller,B,Notre Dame,1943,,1,,
Angelo Bertelli,B,Notre Dame,1943,,1,,
Otto Graham,B,Northwestern,1943,,1,,
William Daly,B,Michigan,1943,,1,,
Bob Odell,B,Pennsylvania,1943,,1,,
David Schreiner,E,Wisconsin,1942,,1,,
Robert Dove,E,Notre Dame,1942,,1,,
Richard Wildung,T,Minnesota,1942,,1,,
Al Wistert,T,Michigan,1942,,1,,
Lindell L. Houston,G,Ohio State,1942,,1,,
Charles Taylor,G,Statenford,1942,,1,,
Harvey Hardy,G,Georgia Tech,1942,,1,,
Julie Franks,G,Michigan,1942,,1,,
Joseph Domnanovich,C,Alabama,1942,,1,,
Paul Governali,B,Columbia,1942,,1,,
Frank Sinkwich,B,Georgia,1942,,1,,
William Hillenbrand,B,Indiana,1942,,1,,
Marlin Harder,B,Wisconsin,1942,,1,,
Mike Holovak,B,Boston College,1942,,1,,
Robert Dove,E,Notre Dame,1941,,1,,
Holt Rast,E,Alabama,1941,,1,,
Alfred Bauman,T,Northwestern,1941,,1,,
Richard Wildung,T,Minnesota,1941,,1,,
Ernie Blandin,T,Tulane,1941,,1,,
"Endicott ""Chub"" Peabody",G,Harvard,1941,,1,,
Raymond Frankowski,G,Washington,1941,,1,,
Darold Jenkins,C,Missouri,1941,,1,,
Frank Albert,B,Statenford,1941,,1,,
Bruce Smith,B,Minnesota,1941,,1,,
Frank Sinkwich,B,Georgia,1941,,1,,
Robert Westfall,B,Michigan,1941,,1,,
Bill Dudley,B,Virginia,1941,,1,,
Eugene Goodreault,E,Boston College,1940,,1,,
Dave Rankin,E,Purdue,1940,,1,,
Nicholas Drahos,T,Cornell,1940,,1,,
Alfred Bauman,T,Northwestern,1940,,1,,
Urban Odson,T,Minnesota,1940,,1,,
Robert Suffridge,G,Tennessee,1940,,1,,
David W. Rankin,G,Purdue,1940,,1,,
Marshall Robnett,G,Texas A&M,1940,,1,,
Rudolph Mucha,C,Washington,1940,,1,,
Frank C. Albert,B,Statenford,1940,,1,,
George H. Franck,B,Minnesota,1940,,1,,
Thomas Harmon,B,Michigan,1940,,1,,
John Kimbrough,B,Texas A&M,1940,,1,,
William Kerr,E,Notre Dame,1939,,1,,
Edward Molinski,E,Tennessee,1939,,1,,
Esco Sarkkinen,E,Ohio State,1939,,1,,
Ken Kavanaugh,E,Louisiana State,1939,,1,,
Nicholas Drahos,T,Cornell,1939,,1,,
James W. Reeder,T,Illinois,1939,,1,,
Harley McCollum,T,Tulane,1939,,1,,
Harry Smith,G,Southern California,1939,,1,,
Ed Molinski,G,Tennessee,1939,,1,,
John Schiechl,C,Santa Clara,1939,,1,,
Paul Christman,B,Missouri,1939,,1,,
Nile Kinnick,B,Iowa,1939,,1,,
Thomas Harmon,B,Michigan,1939,,1,,
John Kimbrough,B,Texas A&M,1939,,1,,
George Cafego,B,Tennessee,1939,,1,,
Earl M. Brown,E,Notre Dame,1938,,1,,
Bowden Wyatt,E,Tennessee,1938,,1,,
"Walter ""Waddy"" Young",E,Oklahoma,1938,,1,,
Brud Holland,E,Cornell,1938,,1,,
Edward Beinor,T,Notre Dame,1938,,1,,
Robert Voigts,T,Northwestern,1938,,1,,
Alvord Wolff,T,Santa Clara,1938,,1,,
Harry Smith,G,Southern California,1938,,1,,
Ralph Heikkinen,G,Michigan,1938,,1,,
Ed Bock,G,Iowa State,1938,,1,,
Daniel Hill,C,Duke,1938,,1,,
"Charles ""Ki"" Aldrich",C,Texas Christian,1938,,1,,
Victor Bottari,B,California,1938,,1,,
David O'Brien,B,Texas Christian,1938,,1,,
Robert MacLeod,B,Dartmouth,1938,,1,,
Marshall Goldberg,B,Pittsburgh,1938,,1,,
Perry Schwartz,E,California,1937,,1,,
Raymond King,E,Minnesota,1937,,1,,
Chuck Sweeney,E,Notre Dame,1937,,1,,
Andy Bershak,E,North Carolina,1937,,1,,
Edward Beinor,T,Notre Dame,1937,,1,,
Anthony F. Matisi,T,Pittsburgh,1937,,1,,
Ed Franco,T,Fordham,1937,,1,,
Leroy Monsky,G,Alabama,1937,,1,,
Gus Zarnas,G,Ohio State,1937,,1,,
Joseph Routt,G,Texas A&M,1937,,1,,
Alex Wojciechowicz,C,Fordham,1937,,1,,
Clinton Frank,B,Yale,1937,,1,,
Marshall Goldberg,B,Pittsburgh,1937,,1,,
Samuel Chapman,B,California,1937,,1,,
Corby Davis,B,Indiana,1937,,1,,
"Byron ""Whizzer"" White",B,Colorado,1937,,1,,
Gaynell Tinsley,E,Louisiana State,1936,,1,,
Lawrence Kelly,E,Yale,1936,,1,,
Edwin Widseth,T,Minnesota,1936,,1,,
Frank Kinard,T,Mississippi,1936,,1,,
Averell Daniell,T,Pittsburgh,1936,,1,,
Max Starcevich,G,Washington,1936,,1,,
Stephen Reid,G,Northwestern,1936,,1,,
Michael J. Basrak,C,Duquesne,1936,,1,,
Alex Wojciechowicz,C,Fordham,1936,,1,,
Nello Falaschi,B,Santa Clara,1936,,1,,
"Clarence ""Ace"" Parker",B,Duke,1936,,1,,
Kent Ryan,B,Utah State,1936,,1,,
Samuel Francis,B,Nebraska,1936,,1,,
Samuel Baugh,B,Texas Christian,1936,,1,,
Ray Buivid,B,Marquette,1936,,1,,
Wayne Millner,E,Notre Dame,1935,,1,,
"James ""Monk"" Moscrip",E,Stanford,1935,,1,,
Gaynell Tinsley,E,Louisiana State,1935,,1,,
Lawrence Lutz,T,California,1935,,1,,
Edwin Widseth,T,Minnesota,1935,,1,,
J. C. Wetsel,G,Southern Methodist,1935,,1,,
John Weller,G,Princeton,1935,,1,,
Sidney Wagner,G,Michigan,1935,,1,,
Gomer Jones,C,Ohio State,1935,,1,,
Darrell Lester,C,Texas Christian,1935,,1,,
Riley Smith,B,Alabama,1935,,1,,
Jay Berwanger,B,Chicago,1935,,1,,
William Shakespeare,B,Notre Dame,1935,,1,,
Robert Grayson,B,Stanford,1935,,1,,
Bobby Wilson,B,Southern Methodist,1935,,1,,
Donald Hutson,E,Alabama,1934,,1,,
Frank Larson,E,Minnesota,1934,,1,,
George W. Maddox,T,Kansas State,1934,,1,,
Regis Monohan,T,Notre Dame,1934,,1,,
Bill Lee,T,Alabama,1934,,1,,
"Bob ""Horse"" Reynolds",T,Stanford,1934,,1,,
George Barclay,G,North Carolina,1934,,1,,
C. C. Hartwig,G,Pittsburgh,1934,,1,,
Bill Bevan,G,Minnesota,1934,,1,,
John Robinson,C,Notre Dame,1934,,1,,
"James ""Monk"" Moscrip",B,Stanford,1934,,1,,
"Francis ""Pug"" Lund",B,Minnesota,1934,,1,,
Jay Berwanger,B,Chicago,1934,,1,,
Robert Grayson,B,Stanford,1934,,1,,
Dixie Howell,B,Alabama,1934,,1,,
"Fred ""Buzz"" Borries",B,Navy,1934,,1,,
Joe Skladany,E,Pittsburgh,1933,,1,,
William Smith,E,Washington,1933,,1,,
Paul Geisler,E,Centenary,1933,,1,,
Francis Wistert,T,Michigan,1933,,1,,
C. B. Ceppi,T,Princeton,1933,,1,,
Fred Crawford,T,Duke,1933,,1,,
Aaron Rosenberg,G,Southern California,1933,,1,,
William Corbus,G,Stanford,1933,,1,,
Charles Bernard,C,Michigan,1933,,1,,
Duane Purvis,B,Purdue,1933,,1,,
Beattie Feathers,B,Tennessee,1933,,1,,
George H. Sauer,B,Nebraska,1933,,1,,
Paul Moss,E,Purdue,1932,,1,,
Fred Petoskey,E,Michigan,1932,,1,,
Joe Skladany,E,Pittsburgh,1932,,1,,
Joseph Kurth,T,Notre Dame,1932,,1,,
Ernest Smith,T,Southern California,1932,,1,,
Francis Wistert,T,Michigan,1932,,1,,
Robert Smith,G,Colgate,1932,,1,,
William Corbus,G,Stanford,1932,,1,,
Milt Summerfelt,G,Army,1932,,1,,
Arthur Krueger,C,Marquette,1932,,1,,
Pete Gracey,C,Vanderbilt,1932,,1,,
Harry Newman,B,Michigan,1932,,1,,
James Hitchcock,B,Auburn,1932,,1,,
Warren Heller,B,Pittsburgh,1932,,1,,
Roy Horstmann,B,Purdue,1932,,1,,
Don Zimmerman,B,Tulane,1932,,1,,
John Orsi,E,Colgate,1931,,1,,
Gerald Dalrymple,E,Tulane,1931,,1,,
Vernon Smith,E,Georgia,1931,,1,,
Jesse Quatse,T,Pittsburgh,1931,,1,,
John Riley,T,Northwestern,1931,,1,,
Dallas Marvil,T,Northwestern,1931,,1,,
"Clarence ""Biggie"" Munn",G,Minnesota,1931,,1,,
John Baker,G,Southern California,1931,,1,,
Thomas Yarr,C,Notre Dame,1931,,1,,
Gus Shaver,B,Southern California,1931,,1,,
Marchy Schwartz,B,Notre Dame,1931,,1,,
"Ernest ""Pug"" Rentner",B,Northwestern,1931,,1,,
John Lewis Cain,B,Alabama,1931,,1,,
Barry Wood,B,Harvard,1931,,1,,
Wesley Fesler,E,Ohio State,1930,,1,,
Gerald Dalrymple,E,Tulane,1930,,1,,
Frank Baker,E,Northwestern,1930,,1,,
Frederick Sington,T,Alabama,1930,,1,,
Mel Hein,T,Washington State,1930,,1,,
Milo Lubratovich,T,Wisconsin,1930,,1,,
Theodore Beckett,G,California,1930,,1,,
Frederick J. Linehan,G,Yale,1930,,1,,
Barton Koch,G,Baylor,1930,,1,,
Benjamin Ticknor,C,Harvard,1930,,1,,
Frank Carideo,B,Notre Dame,1930,,1,,
Marty Brill,B,Notre Dame,1930,,1,,
Reb Russell,B,Northwestern,1930,,1,,
Ernie Pinckert,B,Southern California,1930,,1,,
Marchy Schwartz,B,Notre Dame,1930,,1,,
Leonard Macaluso,B,Colgate,1930,,1,,
Francis Tappaan,E,Southern California,1929,,1,,
Joseph C. Donchess,E,Pittsburgh,1929,,1,,
Wesley Fesler,E,Ohio State,1929,,1,,
Elmer N Sleight,T,Purdue,1929,,1,,
George H. Ackerman,T,St. Mary's CA,1929,,1,,
Bronko Nagurski,T,Minnesota,1929,,1,,
John Cannon,G,Notre Dame,1929,,1,,
Ray Montgomery,G,Pittsburgh,1929,,1,,
Benjamin Ticknor,C,Harvard,1929,,1,,
Frank Carideo,B,Notre Dame,1929,,1,,
"Christian ""Red"" Cagle",B,Army,1929,,1,,
Willis B. Banker,B,Tulane,1929,,1,,
Ralph Welch,B,Purdue,1929,,1,,
Gene McEver,B,Tennessee,1929,,1,,
Wesley Fesler,E,Ohio State,1928,,1,,
Irv Phillips,E,California,1928,,1,,
Albert J. Nowack,T,Illinois,1928,,1,,
Michael Getto,T,Pittsburgh,1928,,1,,
Otto Pommerening,T,Michigan,1928,,1,,
Seraphim Post,G,Stanford,1928,,1,,
George Gibson,G,Minnesota,1928,,1,,
Don Robesky,G,Stanford,1928,,1,,
Ed Burke,G,Navy,1928,,1,,
"H. R. ""Pete"" Pund",C,Georgia Tech,1928,,1,,
Howard Harpster,B,Carnegie Tech,1928,,1,,
"Christian ""Red"" Cagle",B,Army,1928,,1,,
Charles Carroll,B,Washington,1928,,1,,
Paul Scull,B,Penn,1928,,1,,
Ken Strong,B,New York Univ.,1928,,1,,
Benjamin Oosterbaan,E,Michigan,1927,,1,,
Thomas Nash,E,Georgia,1927,,1,,
Sidney S. Quarrier,T,Yale,1927,,1,,
Jesse Hibbs,T,Southern California,1927,,1,,
Ed Hake,T,Penn,1927,,1,,
John P. Smith,G,Notre Dame,1927,,1,,
William A. Webster,G,Yale,1927,,1,,
Lawrence J. Bettencourt,C,St. Mary's CA,1927,,1,,
John Charlesworth,C,Yale,1927,,1,,
Gilbert Welch,B,Pittsburgh,1927,,1,,
"Christian ""Red"" Cagle",B,Army,1927,,1,,
Morley Drury,B,Southern California,1927,,1,,
Herbert Joesting,B,Minnesota,1927,,1,,
Benjamin Oosterbaan,E,Michigan,1926,,1,,
Ted Shipkey,E,Stanford,1926,,1,,
Vic Hanson,E,Syracuse,1926,,1,,
Frank Wickhorst,T,Navy,1926,,1,,
Lloyd Yoder,T,Carnegie Tech,1926,,1,,
Bud Sprague,T,Army,1926,,1,,
Bernie Shively,G,Illinois,1926,,1,,
Herbert C. Sturhahn,G,Yale,1926,,1,,
Harry Connaughton,G,Georgetown,1926,,1,,
"Arthur ""Bud"" Boeringer",C,Notre Dame,1926,,1,,
Roy E. Randall,B,Brown,1926,,1,,
Morton Kaer,B,Southern California,1926,,1,,
Harry E. Wilson,B,Army,1926,,1,,
Herbert Joesting,B,Minnesota,1926,,1,,
Benny Friedman,B,Michigan,1926,,1,,
Ralph Baker,B,Northwestern,1926,,1,,
Benjamin Oosterbaan,E,Michigan,1925,,1,,
Charles I. Born,E,Army,1925,,1,,
George Tully,E,Dartmouth,1925,,1,,
Ed Weir,T,Nebraska,1925,,1,,
Ralph Chase,T,Pittsburgh,1925,,1,,
Herbert C. Sturhahn,G,Yale,1925,,1,,
Carl H. Diehl,G,Dartmouth,1925,,1,,
Ed Hess,G,Ohio State,1925,,1,,
Edward L. McMillan,C,Princeton,1925,,1,,
"Harold ""Red"" Grange",B,Illinois,1925,,1,,
"Andrew ""Swede"" Oberlander",B,Dartmouth,1925,,1,,
George Wilson,B,Washington,1925,,1,,
Ernest Nevers,B,Stanford,1925,,1,,
Benny Friedman,B,Michigan,1925,,1,,
Henry Bjorkman,E,Dartmouth,1924,,1,,
Charles Berry,E,Lafayette,1924,,1,,
Jim Lawson,E,Stanford,1924,,1,,
Dick Luman,E,Yale,1924,,1,,
Henry Wakefield,E,Vanderbilt,1924,,1,,
Edward McGinley,T,Penn,1924,,1,,
Ed Weir,T,Nebraska,1924,,1,,
Edliff Slaughter,G,Michigan,1924,,1,,
Joe Pondelik,G,Chicago,1924,,1,,
Carl Diehl,G,Dartmouth,1924,,1,,
Edgar Garbisch,C,Army,1924,,1,,
Edwin Horrell,C,California,1924,,1,,
Harry Stuhldreher,B,Notre Dame,1924,,1,,
"Harold ""Red"" Grange",B,Illinois,1924,,1,,
Walter Koppisch,B,Columbia,1924,,1,,
Homer Hazel,B,Rutgers,1924,,1,,
Jim Crowley,B,Notre Dame,1924,,1,,
Elmer Layden,B,Notre Dame,1924,,1,,
Lynn Bomar,E,Vanderbilt,1923,,1,,
Homer Hazel,E,Rutgers,1923,,1,,
Century A. Milstead,T,Yale,1923,,1,,
Frank L. Sundstrom,T,Cornell,1923,,1,,
Charles J. Hubbard,G,Harvard,1923,,1,,
Joseph Bedenk,G,Penn State,1923,,1,,
Jack Blott,C,Michigan,1923,,1,,
George R. Pfann,B,Cornell,1923,,1,,
"Harold ""Red"" Grange",B,Illinois,1923,,1,,
Earl Martineau,B,Minnesota,1923,,1,,
William N. Mallory,B,Yale,1923,,1,,
W. H. Taylor,E,Navy,1922,,1,,
"Harold ""Brick"" Muller",E,California,1922,,1,,
C. Herbert Treat,T,Princeton,1922,,1,,
John Thurman,T,Penn,1922,,1,,
Frank J. Schwab,G,Lafayette,1922,,1,,
Charles J. Hubbard,G,Harvard,1922,,1,,
Edgar W. Garbisch,C,Army,1922,,1,,
Gordon C. Locke,B,Iowa,1922,,1,,
Edgar L. Kay,B,Cornell,1922,,1,,
Harry G. Kipke,B,Michigan,1922,,1,,
John W. Thomas,B,Chicago,1922,,1,,
"Harold ""Brick"" Muller",E,California,1921,,1,,
James B. Roberts,E,Centre,1921,,1,,
Russell F. Stein,T,Washington & Jefferson,1921,,1,,
Charles F. McGuire,T,Chicago,1921,,1,,
Frank J. Schwab,G,Lafayette,1921,,1,,
John F. Brown,G,Harvard,1921,,1,,
Henry Vick,C,Michigan,1921,,1,,
Aubrey Devine,B,Iowa,1921,,1,,
Glenn Killinger,B,Penn State,1921,,1,,
Malcolm P. Aldrich,B,Yale,1921,,1,,
Edgar L. Kay,B,Cornell,1921,,1,,
Charles R. Carney,E,Illinois,1920,,1,,
W. E. Fincher,E,Georgia Tech,1920,,1,,
Luke Urban,E,Boston College,1920,,1,,
Frank Weston,E,Wisconsin,1920,,1,,
J. Stanton Keck,T,Princeton,1920,,1,,
Ralph Scott,T,Wisconsin,1920,,1,,
Charles McGuire,T,Chicago,1920,,1,,
J. Timothy Callahan,G,Yale,1920,,1,,
Thomas S. Woods,G,Harvard,1920,,1,,
James Tolbert,G,Harvard,1920,,1,,
Iolas Huffman,G,Ohio State,1920,,1,,
Herbert Stein,C,Pittsburgh,1920,,1,,
Donald B. Lourie,B,Princeton,1920,,1,,
"Gaylord ""Pete"" Stinchcomb",B,Ohio State,1920,,1,,
Charles Way,B,Penn State,1920,,1,,
George Gipp,B,Notre Dame,1920,,1,,
Ben Lee Boynton,B,Williams,1920,,1,,
Tom Davies,B,Pittsburgh,1920,,1,,
Robert Higgins,E,Penn State,1919,,1,,
Henry Miller,E,Penn,1919,,1,,
Lester Belding,E,Iowa,1919,,1,,
D. Belford West,T,Colgate,1919,,1,,
"Wilbur ""Fats"" Henry",T,Washington & Jefferson,1919,,1,,
Joe Alexander,G,Syracuse,1919,,1,,
Adolf Youngstrom,G,Dartmouth,1919,,1,,
James R. Weaver,C,Centre,1919,,1,,
Charles Carpenter,C,Wisconsin,1919,,1,,
"Alvin ""Bo"" McMillin",B,Centre,1919,,1,,
Edward Casey,B,Harvard,1919,,1,,
"Charles ""Chic"" Harley",B,Ohio State,1919,,1,,
Ira E. Rodgers,B,West Virginia,1919,,1,,
Ben Lee Boynton,B,Williams,1919,,1,,
Leonard Hilty,E,Pittsburgh,1918,,1,,
Paul Robeson,E,Rutgers,1918,,1,,
Bill Fincher,E,Georgia Tech,1918,,1,,
"Wilbur ""Fats"" Henry",T,Washington & Jefferson,1918,,1,,
Robert Hopper,T,Penn,1918,,1,,
Lou Usher,T,Syracuse,1918,,1,,
Joe Guyon,T,Georgia Tech,1918,,1,,
Joe Alexander,G,Syracuse,1918,,1,,
Lyman Perry,G,Navy,1918,,1,,
Ashel Day,C,Georgia Tech,1918,,1,,
John Depler,C,Illinois,1918,,1,,
Frank L. Murrey,B,Princeton,1918,,1,,
Thomas Davies,B,Pittsburgh,1918,,1,,
Wolcott Roberts,B,Navy,1918,,1,,
Frank Steketee,B,Michigan,1918,,1,,
"George ""Tank"" McLaren",B,Pittsburgh,1918,,1,,
Charles Bolen,E,Ohio State,1917,,1,,
Paul Robeson,E,Rutgers,1917,,1,,
"Wilbur ""Fats"" Henry",T,Washington & Jefferson,1917,,1,,
Walker Carpenter,T,Georgia Tech,1917,,1,,
Frank Culver,G,Michigan,1917,,1,,
C. G. Higgins,G,Chicago,1917,,1,,
Russell Bailey,C,West Virginia,1917,,1,,
Elmer Oliphant,B,Army,1917,,1,,
Ben Lee Boynton,B,Williams,1917,,1,,
Everett Strupper,B,Georgia Tech,1917,,1,,
"George ""Tank"" McLaren",B,Pittsburgh,1917,,1,,
Bert Baston,E, Minnesota,1916,,1,,
George C. Moseley,E, Yale,1916,,1,,
James Herron,E, Pittsburgh,1916,,1,,
D. Belford West,T, Colgate,1916,,1,,
Clarence F. Homing,T, Colgate,1916,,1,,
Robert Karch,T, Ohio State,1916,,1,,
"Clinton R. Black, Jr.",G, Yale,1916,,1,,
Harrie D. Dadmun,G, Harvard,1916,,1,,
Frank Hogg,G, Princeton,1916,,1,,
Robert Peck,C, Pittsburgh,1916,,1,,
Oscar Anderson,B, Colgate,1916,,1,,
Elmer G. Oliphant,B, Army,1916,,1,,
"Frederick ""Fritz"" Pollard",B, Brown,1916,,1,,
"Charles ""Chic"" Harley",B, Ohio State,1916,,1,,
C. Long,B, Minnesota,1916,,1,,
Stan Cofall,B, Notre Dame,1916,,1,,
Bert Baston,E,Minnesota,1915,,1,,
Murray N. Shelton,E,Cornell,1915,,1,,
Guy Chamberlin,E,Nebraska,1915,,1,,
Bob Higgins,E,Penn State,1915,,1,,
Joseph A. Gilman,T,Harvard,1915,,1,,
Earl C. Abell,T,Colgate,1915,,1,,
"Howard ""Cub"" Buck",T,Wisconsin,1915,,1,,
M. M. Witherspoon,T,Washington & Jefferson,1915,,1,,
"Clarence W. ""Doc"" Spears",G,Dartmouth,1915,,1,,
Christopher Schlachter,G,Syracuse,1915,,1,,
H. A. White,G,Syracuse,1915,,1,,
Robert Peck,C,Pittsburgh,1915,,1,,
Charles Barrett,B,Cornell,1915,,1,,
Richard S. C. King,B,Harvard,1915,,1,,
Edward W. Mahan,B,Harvard,1915,,1,,
Eugene Mayer,B,Virginia,1915,,1,,
Neno Jerry DePrato,B,Michigan State,1915,,1,,
Huntington Hardwick,E,Harvard,1914,,1,,
John E. O'Hearn,E,Cornell,1914,,1,,
Perry Graves,E,Illinois,1914,,1,,
Harold R. Ballin,T,Princeton,1914,,1,,
Walter H. Trumbull,T,Harvard,1914,,1,,
Vic Halligan,T,Nebraska,1914,,1,,
Stanley B. Pennock,G,Harvard,1914,,1,,
Ralph D. Chapman,G,Illinois,1914,,1,,
Arlie Mucks,G,Wisconsin,1914,,1,,
Clarence Spears,G,Dartmouth,1914,,1,,
John J. McEwan,C,Army,1914,,1,,
Robert Peck,C,Pittsburgh,1914,,1,,
Milton P. Ghee,B,Dartmouth,1914,,1,,
John Maulbetsch,B,Michigan,1914,,1,,
Frederick J. Bradlee,B,Harvard,1914,,1,,
Edward W. Mahan,B,Harvard,1914,,1,,
Charles Barrett,B,Cornell,1914,,1,,
John Spiegel,B,Washington & Jefferson,1914,,1,,
Harry Legore,B,Yale,1914,,1,,
Robert H. Hogsett,E,Dartmouth,1913,,1,,
L. A. Merillat Jr.,E,Army,1913,,1,,
Harold R. Ballin,T,Princeton,1913,,1,,
Nelson S. Talbot,T,Yale,1913,,1,,
Miller Pontius,T,Michigan,1913,,1,,
Harvey Hitchcock,T,Harvard,1913,,1,,
Stanley B. Pennock,G,Harvard,1913,,1,,
J. H. Brown Jr.,G,Navy,1913,,1,,
Ray Keeler,G,Wisconsin,1913,,1,,
Paul R. DesJardien,C,Chicago,1913,,1,,
Ellery C. Huntington Jr.,B,Colgate,1913,,1,,
James Craig,B,Michigan,1913,,1,,
Charles E. Brickley,B,Harvard,1913,,1,,
Edward W. Mahan,B,Harvard,1913,,1,,
"Charles ""Gus"" Dorais",B,Notre Dame,1913,,1,,
Samuel M. Felton,E,Harvard,1912,,1,,
Douglass M. Bomeisler,E,Yale,1912,,1,,
Wesley T. Englehorn,T,Dartmouth,1912,,1,,
Robert P. Butler,T,Wisconsin,1912,,1,,
Stanley B. Pennock,G,Harvard,1912,,1,,
W. John Logan,G,Princeton,1912,,1,,
Henry H. Ketcham,C,Yale,1912,,1,,
George M. Crowther,B,Brown,1912,,1,,
Charles E. Brickley,B,Harvard,1912,,1,,
Jim Thorpe,B,Carlisle,1912,,1,,
E. LeRoy Mercer,B,Penn,1912,,1,,
Sanford B. White,E,Princeton,1911,,1,,
Douglass M. Bomeisler,E,Yale,1911,,1,,
Edward J. Hart,T,Princeton,1911,,1,,
Leland S. Devore,T,Army,1911,,1,,
Robert T. Fisher,G,Harvard,1911,,1,,
Joseph M. Duff Jr.,G,Princeton,1911,,1,,
Henry H. Ketcham,C,Yale,1911,,1,,
Arthur Howe,B,Yale,1911,,1,,
Percy Wendell,B,Harvard,1911,,1,,
Jim Thorpe,B,Carlisle,1911,,1,,
J. P. Dalton,B,Navy,1911,,1,,
John R. Kilpatrick,E,Yale,1910,,1,,
Stanfield Wells,E,Michigan,1910,,1,,
Robert G. McKay,T,Harvard,1910,,1,,
James Walker,T,Minnesota,1910,,1,,
Albert Benbrook,G,Michigan,1910,,1,,
Robert T. Fisher,G,Harvard,1910,,1,,
Ernest B. Cozens,C,Pennsylvania,1910,,1,,
W. Earl Sprackling,B,Brown,1910,,1,,
Perry Wendell,B,Harvard,1910,,1,,
Talbot T. Pendleton,B,Princeton,1910,,1,,
F. LeRoy Mercer,B,Pennsylvania,1910,,1,,
Adrien E. Regnier,E,Brown,1909,,1,,
John R. Kilpatrick,E,Yale,1909,,1,,
Hamilton Fish,T,Harvard,1909,,1,,
Henry H. Hobbs,T,Yale,1909,,1,,
Albert Benbrook,G,Michigan,1909,,1,,
Hamlin F. Andrus,G,Yale,1909,,1,,
Carroll T. Cooney,C,Yale,1909,,1,,
John McGovern,B,Minnesota,1909,,1,,
Stephen H. Philbin,B,Yale,1909,,1,,
W. M. Minot,B,Harvard,1909,,1,,
"Edward H. ""Ted"" Coy",B,Yale,1909,,1,,
Hunter Scarlett,E,Pennsylvania,1908,,1,,
George H. Schildmiller,E,Dartmouth,1908,,1,,
Hamilton Fish,T,Harvard,1908,,1,,
M. Frank Horr,T,Syracuse,1908,,1,,
Percy Northcroft,T,Navy,1908,,1,,
William A. Goebel,G,Yale,1908,,1,,
Clarke W. Tobin,G,Dartmouth,1908,,1,,
Hamlin Andrus,G,Yale,1908,,1,,
Bernard O'Rourke,G,Cornell,1908,,1,,
Charles J. Nourse,C,Harvard,1908,,1,,
Walter P. Steffen,B,Chicago,1908,,1,,
Frederick M. Tibbott,B,Princeton,1908,,1,,
William A. Hollenback,B,Penn,1908,,1,,
"Edward ""Ted"" Coy",B,Yale,1908,,1,,
Walter Steffen,B,Chicago,1908,,1,,
Ed Lange,B,Navy,1908,,1,,
Hamilton Corbett,B,Harvard,1908,,1,,
W. H. Dague Jr.,E,Navy,1907,,1,,
